Paper,Type,Name,Distance
1,paper,cdrs.dat,0.0
1,cite,00210604-gamma.dat,1839.52209094
1,cite,06-popl-autolocker-gamma.dat,1048.46643497
1,cite,Linearizability-ACorrectnessConditionForConcurrentObjects-gamma.dat,991.433572253
1,cite,OPODIS2006-BA-gamma.dat,1404.61623357
1,cite,ScalaOverview-gamma.dat,2883.54944639
1,cite,ShavitTouitou-gamma.dat,660.963638993
1,cite,chp%3A10.1007%2F978-3-540-89740-8_10-gamma.dat,1091.81219905
1,cite,consistencycacm-gamma.dat,1068.95678229
1,cite,distil-gamma.dat,1705.00472695
1,cite,esop12lockplacements-gamma.dat,662.9546583
1,cite,halpert-07-component-gamma.dat,759.021578964
1,cite,ieee-tse-00-gamma.dat,1654.30697814
1,cite,jpdc98-gamma.dat,871.205367337
1,cite,lock-inference-for-atomicity-gamma.dat,1043.90910358
1,cite,oopsla11-atomicity-gamma.dat,1033.51625464
1,cite,p125-vechev-gamma.dat,838.481757409
1,cite,p197-schonberg-gamma.dat,1727.43811305
1,cite,p27-dewar-gamma.dat,1522.50782733
1,cite,p291-emmi-gamma.dat,969.703907157
1,cite,pldi11b-gamma.dat,1469.76129995
1,cite,podc011-bronson-gamma.dat,704.105204544
1,cite,tr-2007-111-gamma.dat,961.394590142
1,cite,tr-95-26-2-gamma.dat,1638.29516494
1,cite,transact06-gamma.dat,1205.69267613
2,paper,pcc_popl97-gamma.dat,0.0
2,cite,00006898-gamma.dat,1328.99168105
2,cite,Elf-Pfenning-gamma.dat,1193.65884996
2,cite,FloydMeaning-gamma.dat,16.3198851901
2,cite,LF-JACM1993-gamma.dat,3349.12582384
2,cite,SPIN-gamma.dat,2021.56316204
2,cite,TIL-pldi96-gamma.dat,32.0145505231
2,cite,boyer-yu-proofs-of-microprocessor-gamma.dat,1480.8608737
2,cite,mccanne-packet-filter-gamma.dat,16.3198851901
2,cite,necula-osdi-pcc-gamma.dat,24.1862862508
2,cite,packet-filter-mogul-gamma.dat,1475.40639533
2,cite,sml90-defn-gamma.dat,4659.32330864
