Paper,Type,Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,paper,cdrs.dat,140.1084830668,107.0784977964,220.2910572338,289.3079792488,145.4733291431,203.8921949985,211.2788713796,107.4885176891,424.8004805079,63.4755137493,42.5999676937,117.1041227706,533.3208699656,1986.3337539064,86.8075188476,266.8121011410,309.8704521299,291.3722893861,73.0375575688,97.1774961186
1,cite,00210604-gamma.dat,130.3769556547,0.0315527171,237.9751941775,152.7194164127,26.4578696999,222.4281513704,56.9042865629,13.1617565274,137.9405532213,108.2663717731,8.5818211789,49.2557016768,324.8811826136,227.3573388351,25.8640833036,162.4013663378,109.5721825264,161.3889874135,73.2547035349,13.8115788041
1,cite,06-popl-autolocker-gamma.dat,171.8993529845,67.4337548594,129.4853498214,176.1989617516,150.0593261536,45.3466314277,241.7023226361,23.0358653337,380.6853174321,398.6500767678,95.0140329403,311.7497698769,428.9423296953,2890.7788203845,79.7926914687,141.9618852890,191.1408917723,461.1216334418,71.0796773868,104.5523629183
1,cite,Linearizability-ACorrectnessConditionForConcurrentObjects-gamma.dat,93.3267005026,103.8300595973,553.4414309651,153.8305210744,442.4266278043,156.2250087635,193.1015856900,20.4886265830,422.0126525569,245.9694698004,559.7240834408,67.2808291523,383.5300353866,1506.6773310853,109.6279409202,492.1202224583,57.4325348619,47.8165575672,20.3787084430,239.3901276887
1,cite,OPODIS2006-BA-gamma.dat,39.9627423872,164.6012891439,354.4016576249,158.5960444866,9.7061016299,151.2126610312,191.7671628222,19.1618279826,114.1345040208,45.1069061632,18.2841069365,23.9432243372,147.9986568014,754.5549376453,15.3664310847,308.6663440138,105.3746872096,18.7170216916,74.8851632516,81.1895840775
1,cite,ScalaOverview-gamma.dat,137.1394073055,39.8055116041,586.0545839033,35.1796965836,96.8366983677,272.6577826007,100.8388771265,718.8649280149,179.6392144731,1770.6848879688,25.9949069710,115.5285744358,2234.9070149210,691.3057859279,317.3692239471,351.9813328647,47.5366819012,124.9775681669,27.5343116403,208.7940656175
1,cite,ShavitTouitou-gamma.dat,223.1580288386,176.5233100089,109.0031301487,150.2699375534,65.1793821695,77.1849952106,390.6220261687,18.0945931874,258.8000716853,28.5395132288,29.9170675331,222.9315137304,271.1229400261,1877.5215102044,194.2688024128,306.3493832993,144.3962715992,12.1832851732,76.7300762704,399.8352158930
1,cite,chp%3A10.1007%2F978-3-540-89740-8_10-gamma.dat,53.0684510621,10.8521046308,106.3537101084,530.3685675118,28.1670714010,56.3996915340,41.9859205561,4.8569660997,274.6747776080,35.2002753007,0.0315527171,71.5687100620,419.3763734968,1079.3137961752,8.8099945665,59.6210803378,107.6573481849,18.7552383815,63.4327362109,50.1366883965
1,cite,consistencycacm-gamma.dat,33.5738853182,99.1661244715,67.9017224978,142.9974976489,95.9308120781,12.3278639468,89.3778267021,20.1409086597,103.2944401753,129.7796100228,0.0315527171,154.3708563795,180.4034161605,1221.9838942248,68.2073127481,526.5540508557,29.0102387678,50.5198998960,81.1740703796,118.8850706913
1,cite,distil-gamma.dat,321.0602656228,165.0828890944,373.0409951690,11.1034972898,20.6325787174,51.3566778022,40.3506602160,286.5649877394,40.3143540476,192.3469295896,118.8931202519,123.0572642977,533.4315191617,507.4328595436,128.0448344929,101.9115966544,125.1794558445,756.1602248422,182.4302202952,244.2361236694
1,cite,esop12lockplacements-gamma.dat,55.0611210057,20.9065494379,53.7054311151,311.2907282130,78.2810887153,113.6783909595,572.5636780751,17.8654141296,426.7424101488,105.0682935675,22.8255445263,86.6956155365,252.4271783871,1897.3402927636,32.2898467205,516.4808839878,152.1042369420,47.4896092120,17.2452030426,149.5695378561
1,cite,halpert-07-component-gamma.dat,126.3529287018,29.7422077424,13.0601700681,506.2330976278,38.9329317096,133.4531784439,300.9219893661,204.9328576835,655.9187245458,81.0671758172,7.1760564342,159.5263514242,280.8976989521,1634.0752479266,68.9745304170,17.9604239003,63.3667561865,21.4120688914,13.6340211697,142.9926373335
1,cite,ieee-tse-00-gamma.dat,241.3777575474,193.8863558897,343.2296944604,105.1017968505,12.9170699925,235.1783993579,30.7900266184,468.1117392960,218.7654653699,190.7051434857,235.9831358993,162.5421770144,684.0148805609,482.1834273649,164.1751896029,162.8828038780,108.8553661865,139.9464388225,95.2441325468,254.7400535970
1,cite,jpdc98-gamma.dat,448.2190268207,38.6211909289,147.0168291905,224.1979017404,29.1519521820,39.9000781939,510.9222829673,9.8445389490,467.5948896036,39.0550580678,110.6767118488,154.0485303242,307.2040455049,1806.7548974702,77.2154452741,7.8284919241,817.0157353749,0.0315527171,167.7841358099,99.5477594495
1,cite,lock-inference-for-atomicity-gamma.dat,145.6276208780,6.7010294076,86.2632115051,119.0507168677,17.8658078092,151.2236066999,153.0664128409,63.0942781839,419.9474252382,133.6065975908,22.5238709433,72.7982316732,218.9829978311,1115.5574292509,84.9187706352,122.4327081974,64.6270620814,46.8212534945,25.0346518385,125.4873713748
1,cite,oopsla11-atomicity-gamma.dat,54.2759718968,6.6471306212,600.2964806410,40.7687935255,38.4624855198,36.8204467033,197.3088983301,153.5587837198,29.0412659483,33.4304005636,247.9703612599,722.8066878211,259.2352636899,1895.5501253780,90.5455705246,236.9742085881,85.7895985779,10.2538299623,11.8405392884,235.0542117824
1,cite,p125-vechev-gamma.dat,48.8424551055,50.1224862339,558.1439518157,145.2430663960,38.8696031118,289.8193216745,166.0185026621,119.7549562984,586.3633265531,43.3401766716,392.9234523531,372.3021932289,243.7556785645,1741.0474112397,37.4711247954,359.7900810022,46.2707287485,10.4466934556,141.5632120627,211.5426323685
1,cite,p197-schonberg-gamma.dat,145.6318545422,13.5707119556,252.5079448943,444.2710475896,3.2421806983,190.0062022838,76.5444377362,8.5771422061,659.6018146487,220.2546075703,50.3573473012,58.3688446328,460.6079702608,361.8841520701,27.6043680660,281.8364942968,25.2187313392,0.0315527171,65.7837341390,27.7299153934
1,cite,p27-dewar-gamma.dat,204.6951648195,26.3672844541,476.8690408073,286.2320403682,27.6928605721,355.4708737956,134.7838508329,16.2087737318,967.3129979772,425.4027504958,12.9578233579,196.3747737966,768.4966531350,730.6926949656,60.2609299626,365.7347473327,15.0139540811,125.4386408240,78.0800767016,64.5451223302
1,cite,p291-emmi-gamma.dat,40.0050619828,22.9137664979,17.9802016969,316.3321202268,9.8519301009,213.1977864524,80.7276719552,0.0315527171,264.9110627552,152.1356335895,9.9505107781,63.8353546741,179.8923472244,1268.9379082839,6.4776018341,77.3313396165,37.3773364722,89.7930146922,77.8728302092,79.0760225825
1,cite,pldi11b-gamma.dat,230.7502471080,126.2144587039,548.1990767358,180.4012368640,100.5150804919,265.7673571957,199.3326532184,71.7753004107,806.4344204679,112.2784272080,147.8236833769,162.1306397160,449.1227835856,658.3858849934,94.3542611330,553.2138458769,395.8500388859,243.7956437201,109.4814584162,81.8045562334
1,cite,podc011-bronson-gamma.dat,161.0040730005,35.7234326152,480.0864038685,305.0257681142,81.2745560976,172.9795744149,391.0190917555,34.9901959553,47.0956254944,21.7890270002,71.6384179539,44.9678233769,243.2945201317,1721.6930018687,69.7264037854,249.1126101181,197.0812824682,49.2380070654,35.3262464692,140.5649927879
1,cite,tr-2007-111-gamma.dat,90.9038810583,23.1470379201,240.3815381075,81.1154235160,61.5464927609,365.9961330040,89.9321554696,24.8905220949,1057.7763727938,127.8692585328,57.4235473742,101.4104373032,295.3693407369,2428.5100669824,17.5962206664,319.5712331272,98.6884691308,29.4321488564,55.7244716774,291.3463032289
