Topic,Fulltext Rank,Abstract Rank,Title
0,5,6,"Efficient discovery of regular stride patterns in irregular programs and its use in compiler prefetching - Youfeng Wu (PLDI 2002)"
0,12,0,"Dynamic hot data stream prefetching for general-purpose programs - Trishul M. Chilimbi, Martin Hirzel (PLDI 2002)"
0,9,4,"Cache-conscious structure layout - Trishul M. Chilimbi, Mark D. Hill, James R. Larus (PLDI 1999)"
0,2,17,"Efficient representations and abstractions for quantifying and exploiting data reference locality - Trishul M. Chilimbi (PLDI 2001)"
0,11,8,"Data transformations for eliminating conflict misses - Gabriel Rivera, Chau-Wen Tseng (PLDI 1998)"
0,21,3,"Prefetch injection based on hardware monitoring and object metadata - Ali-Reza Adl-Tabatabai, Richard L. Hudson, Mauricio J. Serrano, Sreenivas Subramoney (PLDI 2004)"
0,18,7,"Cache-conscious structure definition - Trishul M. Chilimbi, Bob Davidson, James R. Larus (PLDI 1999)"
0,8,19,"The hardness of cache conscious data placement - Erez Petrank, Dror Rawitz (POPL 2002)"
0,23,5,"Cache-conscious coallocation of hot data streams - Trishul M. Chilimbi, Ran Shaham (PLDI 2006)"
0,17,12,"Efficient procedure mapping using cache line coloring - Amir H. Hashemi, David R. Kaeli, Brad Calder (PLDI 1997)"
0,3,26,"A hierarchical model of data locality - Chengliang Zhang, Chen Ding, Mitsunori Ogihara, Yutao Zhong, Youfeng Wu (POPL 2006)"
0,6,24,"Improving cache performance in dynamic applications through data and computation reorganization at run time - Chen Ding, Ken Kennedy (PLDI 1999)"
0,14,18,"Static load classification for improving the value predictability of data-cache misses - Martin Burtscher, Amer Diwan, Matthias Hauswirth (PLDI 2002)"
0,15,20,"Stride prefetching by dynamically inspecting objects - Tatsushi Inagaki, Tamiya Onodera, Hideaki Komatsu, Toshio Nakatani (PLDI 2003)"
0,26,9,"A compiler technique for improving whole-program locality - Mahmut Taylan Kandemir (POPL 2001)"
0,22,14,"Software data spreading: leveraging distributed caches to improve single thread performance - Md Kamruzzaman, Steven Swanson, Dean M. Tullsen (PLDI 2010)"
0,0,37,"Array regrouping and structure splitting using whole-program reference affinity - Yutao Zhong, Maksim Orlovich, Xipeng Shen, Chen Ding (PLDI 2004)"
0,13,29,"Exact analysis of the cache behavior of nested loops - Siddhartha Chatterjee, Erin Parker, Philip J. Hanlon, Alvin R. Lebeck (PLDI 2001)"
0,20,23,"Post-pass binary adaptation for software-based speculative precomputation - Steve S.W. Liao, Perry H. Wang, Hong Wang, Gerolf Hoflehner, Daniel Lavery, John P. Shen (PLDI 2002)"
0,4,41,"Predicting whole-program locality through reuse distance analysis - Chen Ding, Yutao Zhong (PLDI 2003)"
0,29,16,"Cache topology aware computation mapping for multicores - Mahmut Kandemir, Taylan Yemliha, SaiPrashanth Muralidhara, Shekhar Srikantaiah, Mary Jane Irwin, Yuanrui Zhnag (PLDI 2010)"
0,33,13,"Memory access coalescing: a technique for eliminating redundant memory accesses - Jack W. Davidson, Sanjay Jinturkar (PLDI 1994)"
0,37,11,"Improving the cache locality of memory allocation - Dirk Grunwald, Benjamin Zorn, Robert Henderson (PLDI 1993)"
0,27,21,"Data distribution support on distributed shared memory multiprocessors - Rohit Chandra, Ding-Kai Chen, Robert Cox, Dror E. Maydan, Nenad Nedeljkovic, Jennifer M. Anderson (PLDI 1997)"
0,16,32,"Tile size selection using cache organization and data layout - Stephanie Coleman, Kathryn S. McKinley (PLDI 1995)"
0,25,25,"Cache and I/O efficent functional algorithms - Guy E. Blelloch, Robert Harber (POPL 2013)"
0,19,35,"Cache performance of garbage-collected programs - Mark B. Reinhold (PLDI 1994)"
0,48,10,"Automatic pool allocation: improving performance by controlling data structure layout in the heap - Chris Lattner, Vikram Adve (PLDI 2005)"
0,24,39,"Locality approximation using time - Xipeng Shen, Jonathan Shaw, Brian Meeker, Chen Ding (POPL 2007)"
0,38,27,"Exploiting hardware performance counters with flow and context sensitive profiling - Glenn Ammons, Thomas Ball, James R. Larus (PLDI 1997)"
0,47,22,"Shangri-La: achieving high performance from compiled network applications while enabling ease of programming - Michael K. Chen, Xiao Feng Li, Ruiqi Lian, Jason H. Lin, Lixia Liu, Tao Liu, Roy Ju (PLDI 2005)"
0,35,43,"Profile-guided proactive garbage collection for locality optimization - Wen-ke Chen, Sanjay Bhansali, Trishul Chilimbi, Xiaofeng Gao, Weihaw Chuang (PLDI 2006)"
0,40,44,"Compile-time composition of run-time data and iteration reorderings - Michelle Mills Strout, Larry Carter, Jeanne Ferrante (PLDI 2003)"
1,1,1,"Natural proofs for structure, data, and separation - Xiaokang Qiu, Pranav Garg, Andrei Ştefănescu, Parthasarathy Madhusudan (PLDI 2013)"
1,2,6,"Natural proofs for data structure manipulation in C using separation logic - Edgar Pek, Xiaokang Qiu, P. Madhusudan (PLDI 2014)"
1,0,13,"Recursive proofs for inductive tree data-structures - Parthasarathy Madhusudan, Xiaokang Qiu, Andrei Stefanescu (POPL 2012)"
1,15,0,"Streaming transducers for algorithmic verification of single-pass list-processing programs - Rajeev Alur, Pavol Černý (POPL 2011)"
1,19,3,"Multivariate amortized resource analysis - Jan Hoffmann, Klaus Aehlig, Martin Hofmann (POPL 2011)"
1,18,5,"The third homomorphism theorem on trees: downward & upward lead to divide-and-conquer - Akimasa Morihata, Kiminori Matsuzaki, Zhenjiang Hu, Masato Takeichi (POPL 2009)"
1,21,7,"Verifying properties of well-founded linked lists - Shuvendu K. Lahiri, Shaz Qadeer (POPL 2006)"
1,13,15,"Automatic inversion generates divide-and-conquer parallel programs - Kazutaka Morita, Akimasa Morihata, Kiminori Matsuzaki, Zhenjiang Hu, Masato Takeichi (PLDI 2007)"
1,5,24,"Decision procedures for algebraic data types with abstractions - Philippe Suter, Mirco Dotta, Viktor Kuncak (POPL 2010)"
1,8,23,"On inter-procedural analysis of programs with lists and data - Ahmed Bouajjani, Cezara Drăgoi, Constantin Enea, Mihaela Sighireanu (PLDI 2011)"
1,6,28,"Back to the future: revisiting precise program verification using SMT solvers - Shuvendu Lahiri, Shaz Qadeer (POPL 2008)"
1,3,35,"Decidable logics combining heap structures and data - P. Madhusudan, Gennaro Parlato, Xiaokang Qiu (POPL 2011)"
1,25,14,"Efficient static analysis of XML paths and types - Pierre Genevès, Nabil Layaïda, Alan Schmitt (PLDI 2007)"
1,10,31,"Type-based data structure verification - Ming Kawaguchi, Patrick Rondon, Ranjit Jhala (PLDI 2009)"
1,16,25,"The pointer assertion logic engine - Anders Møller, Michael I. Schwartzbach (PLDI 2001)"
1,22,20,"Fast: a transducer-based language for tree manipulation - Loris D'Antoni, Margus Veanes, Benjamin Livshits, David Molnar (PLDI 2014)"
