Year,PLDI Error (CMA),POPL Error (CMA),PLDI Error (EMA),POPL Error (EMA)
1975,0.0,6.20167888474e-16,5.68846069665,4.52171530735
1976,0.0,9.01427433975,1.42211517416,3.99005082898
1977,0.0,16.7130882996,0.355528793541,5.83793409175
1978,0.0,18.8266697413,0.0888821983851,7.04370825024
1979,0.0,13.1702958176,0.0222205495963,4.69189341984
1980,0.0,16.6784838302,0.00555513739907,5.490346649
1981,0.0,14.092514171,0.00138878434977,4.50774062291
1982,0.0,15.5751297325,0.000347196087442,4.93768911904
1983,0.0,31.2076744145,8.67990218605e-05,9.3088022664
1984,0.0,12.2252173697,2.16997554651e-05,7.49319426927
1985,0.0,11.7590234405,5.42493886628e-06,3.12177818136
1986,0.0,11.8567693352,1.35623471657e-06,2.82095195615
1987,0.0,10.6725799584,3.39058679142e-07,3.0745610615
1988,30.9186843911,9.43569108346,8.3242611001,3.21748259339
1989,28.0540513201,9.18122494697,3.145954556,2.56561721018
1990,25.7697577091,12.0908378129,3.52787909911,2.72137415257
1991,20.1576953012,8.6368710574,2.80391220065,2.40188352189
1992,23.2039118029,10.4940735142,2.6255546336,2.59045705975
1993,20.9446526834,16.6867063062,2.3340427361,3.79943982559
1994,22.4543263822,13.3415418392,3.11227508864,2.46581508562
1995,19.3281559706,10.8439322836,2.49399414055,2.75247333795
1996,19.5053886182,8.17152895345,3.42433490754,2.27978885188
1997,21.2895216525,9.54598777286,3.14624459221,0.840037087729
1998,21.454459862,6.74046861377,3.53703946032,1.12028637052
1999,17.4093925891,8.0221144582,3.81032521447,2.03336404393
2000,19.5004167633,10.1380271336,3.96786144525,2.9023455363
2001,18.3289708004,13.0069479459,3.04898638813,3.5391434501
2002,17.2957946687,8.89555480752,3.73764600722,2.76147250179
2003,18.1627960609,12.6150173252,4.02019115769,3.46852103311
2004,15.7741418393,10.0586759198,4.02970532219,3.29092542975
2005,18.4039846322,9.67536987027,4.10714253623,2.82208689598
2006,22.9735109247,12.8563909574,4.38967874571,3.47489971459
2007,29.7286726101,13.3699214281,4.53387198814,2.98907602845
2008,20.8862405468,14.4484274101,4.62923315922,3.40575191588
2009,25.5884332149,15.3574267616,4.28376278963,3.38678877732
2010,25.8199867239,16.0469117038,3.80718064923,3.5648839723
2011,35.6913111676,22.7776871089,4.93773374978,4.42990222366
2012,28.6370663068,19.419205568,3.2273147183,3.01244275915
2013,27.4779772612,18.8522238328,3.37673957032,2.92842310678
2014,37.2956262473,24.5052989767,4.35382185992,3.28199503462
2015,22.7538427866,23.6185161786,14.1418959906,3.14779455244
