Year,PLDI Error (CMA),POPL Error (CMA),PLDI Error (EMA),POPL Error (EMA)
1975,0.0,4.07312764815e-14,221.941370744,240.521406542
1976,0.0,234.811790906,55.485342686,110.658500698
1977,0.0,311.098945466,13.8713356715,135.331001751
1978,0.0,307.175276594,3.46783391787,93.438157831
1979,0.0,557.457819249,0.866958479469,147.884481684
1980,0.0,356.792573652,0.216739619867,138.708543792
1981,0.0,318.82786831,0.0541849049668,78.273468715
1982,0.0,408.914912342,0.0135462262417,103.171587834
1983,0.0,692.091716957,0.00338655656042,203.358995915
1984,0.0,459.967175984,0.000846639140106,130.809309495
1985,0.0,367.4506678,0.000211659785026,103.628071465
1986,0.0,394.052483304,5.29149462566e-05,80.2544081684
1987,0.0,665.806874654,1.32287365642e-05,181.360011284
1988,1047.17184806,752.287072527,281.93087958,184.841525035
1989,1042.67042657,760.26148867,130.643825998,143.33375731
1990,1152.11118115,816.321552224,115.546144433,124.781117107
1991,1053.85876738,874.395258215,187.688161288,135.252121982
1992,1094.26896432,675.502830861,108.262601854,97.6101700167
1993,1055.81798803,792.430081645,136.817880215,118.827948929
1994,1146.91523893,871.950998423,102.209516258,82.8613017463
1995,1350.96101724,829.738240214,161.278914036,103.945074294
1996,1046.15238729,922.301962323,239.814608335,152.751646116
1997,936.241696888,941.338045904,93.6060695502,351.430741909
1998,1079.03313974,918.297449184,171.898560439,281.651588554
1999,905.68905897,996.246409699,120.177366085,162.584716611
2000,472.038588258,637.521898187,140.034503576,183.349720216
2001,1157.07252464,1041.35526882,247.952907512,265.68643067
2002,1253.37407893,845.465082091,177.605484195,229.964511305
2003,1271.02418091,798.826009483,184.595622457,168.660572496
2004,1014.4139595,764.547387756,135.559722899,175.421596209
2005,989.797052494,1263.66216927,188.503780879,258.304281716
2006,1535.34572837,1005.83841814,264.604417691,192.44702654
2007,1150.3891975,793.573752964,205.891446689,144.762569916
2008,1389.66099669,991.930587342,142.483181094,167.641860308
2009,1653.50282989,1080.78657258,149.391216046,147.683745004
2010,1376.78265094,1488.52048927,150.050838081,250.342071265
2011,1218.29034489,915.513938898,157.471569852,197.276410076
2012,1105.49677212,877.345470765,132.096988632,174.604127743
2013,864.348393416,776.128727229,169.072620294,99.2459812261
2014,722.820247755,837.396355623,98.4625102555,76.5795383784
2015,887.765482976,740.444949242,332.847828364,140.916540443
