Year,FP,OO
POPL '97,,
POPL '96,,
POPL '95,33,32
POPL '94,37,34
POPL '93,38,36
POPL '92,28,28
POPL '91,,
POPL '90,29,27
POPL '13,43,42
POPL '99,,
POPL '98,,
POPL '77,22,21
POPL '10,40,40
POPL '08,37,37
POPL '09,38,37
POPL '04,28,28
POPL '05,30,29
POPL '06,33,34
POPL '07,38,38
POPL '00,29,28
POPL '01,23,23
POPL '02,29,29
POPL '03,24,24
POPL '84,22,21
POPL '85,22,22
POPL '86,29,29
POPL '87,24,24
POPL '80,24,24
POPL '81,19,19
POPL '82,29,28
POPL '83,27,27
POPL '88,23,20
POPL '89,27,27
POPL '79,24,23
POPL '78,23,23
POPL '73,16,16
POPL '14,52,48
POPL '75,19,19
POPL '12,45,44
POPL '11,50,50
POPL '76,19,19
