Year,subtyping,dependent types
POPL '97,,
POPL '96,,
POPL '95,,29
POPL '94,,34
POPL '93,,33
POPL '92,,27
POPL '91,,
POPL '90,,27
POPL '13,,37
POPL '99,,
POPL '98,,
POPL '77,,16
POPL '10,,36
POPL '08,,37
POPL '09,,29
POPL '04,,27
POPL '05,,27
POPL '06,,29
POPL '07,,35
POPL '00,,26
POPL '01,,22
POPL '02,,27
POPL '03,,23
POPL '84,,20
POPL '85,,17
POPL '86,,26
POPL '87,,22
POPL '80,,23
POPL '81,,16
POPL '82,,24
POPL '83,,25
POPL '88,,20
POPL '89,,27
POPL '79,,22
POPL '78,,21
POPL '73,,14
POPL '14,,49
POPL '75,,17
POPL '12,,41
POPL '11,,39
POPL '76,,17
