Year,type theory,static analysis
POPL '97,,
POPL '96,,
POPL '95,30,9
POPL '94,34,7
POPL '93,35,14
POPL '92,27,8
POPL '91,,
POPL '90,28,7
POPL '13,38,13
POPL '99,,
POPL '98,,
POPL '77,16,6
POPL '10,36,13
POPL '08,37,13
POPL '09,29,12
POPL '04,27,9
POPL '05,27,13
POPL '06,31,13
POPL '07,37,13
POPL '00,26,9
POPL '01,22,9
POPL '02,27,11
POPL '03,24,5
POPL '84,20,3
POPL '85,18,6
POPL '86,26,9
POPL '87,22,7
POPL '80,23,10
POPL '81,16,6
POPL '82,27,7
POPL '83,25,9
POPL '88,20,8
POPL '89,27,10
POPL '79,23,6
POPL '78,21,8
POPL '73,14,3
POPL '14,49,13
POPL '75,17,5
POPL '12,42,13
POPL '11,40,21
POPL '76,17,6
