Year,subtyping,dependent types
POPL '97,,
POPL '96,,
POPL '95,32,33
POPL '94,34,35
POPL '93,37,36
POPL '92,28,28
POPL '91,,
POPL '90,28,29
POPL '13,43,43
POPL '99,,
POPL '98,,
POPL '77,22,22
POPL '10,40,40
POPL '08,37,37
POPL '09,37,37
POPL '04,28,28
POPL '05,29,30
POPL '06,34,34
POPL '07,38,37
POPL '00,28,28
POPL '01,22,23
POPL '02,29,29
POPL '03,23,24
POPL '84,21,21
POPL '85,22,21
POPL '86,29,28
POPL '87,23,23
POPL '80,23,23
POPL '81,19,19
POPL '82,28,27
POPL '83,27,27
POPL '88,21,22
POPL '89,26,25
POPL '79,23,23
POPL '78,23,22
POPL '73,16,16
POPL '14,48,51
POPL '75,19,19
POPL '12,44,45
POPL '11,50,50
POPL '76,19,19
