Year,type theory,static analysis
POPL '97,,
POPL '96,,
POPL '95,23,32
POPL '94,28,31
POPL '93,23,36
POPL '92,22,28
POPL '91,,
POPL '90,24,27
POPL '13,34,42
POPL '99,,
POPL '98,,
POPL '77,20,18
POPL '10,30,39
POPL '08,29,37
POPL '09,32,37
POPL '04,23,27
POPL '05,20,29
POPL '06,26,31
POPL '07,27,38
POPL '00,21,28
POPL '01,16,22
POPL '02,20,25
POPL '03,18,22
POPL '84,16,18
POPL '85,15,21
POPL '86,20,28
POPL '87,13,22
POPL '80,14,18
POPL '81,14,15
POPL '82,21,25
POPL '83,16,25
POPL '88,19,19
POPL '89,20,25
POPL '79,15,24
POPL '78,18,20
POPL '73,14,13
POPL '14,42,50
POPL '75,14,17
POPL '12,33,44
POPL '11,37,47
POPL '76,14,16
