Title,Conference,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49
"A reflection on call-by-value - Simon Peyton Jones Will Partain André Santos","ICFP 1996",0.0487067709,0.0487067715,0.0487067707,0.0487067707,0.0487067708,0.0487067710,0.0487067708,0.0487067711,3.7024093648,0.0487067708,0.0487067708,0.0487067711,0.0487067709,0.0487067707,0.0487067709,0.0487067709,0.0487067707,0.0487067710,0.0487067710,1.9119548421,0.0487067708,0.0487067708,0.0487067707,0.0487067712,0.0487067710,0.0487067707,0.0487067709,0.0487067707,0.0487067708,0.0487067710,2.6700036929,0.0487067708,0.0487067707,0.0487067709,0.0487067708,0.0487067708,0.0487067711,0.0487067711,0.0487067708,0.0487067708,0.0487067711,0.0487067712,0.0487067709,0.0487067709,0.0487067708,58.8661544413,15.6032562233,12.5384620428,0.0487067708,0.0487067708
"Inductive, coinductive, and pointed types - Julia L. Lawall Harry G. Mairson","ICFP 1996",0.0487067710,0.0487067708,0.0487067709,3.4186213379,0.0487067712,0.0487067718,0.0487067710,0.0487067708,11.7013093946,0.0487067710,0.0487067708,0.0487067710,0.0487067710,0.0487067712,0.0487067709,0.0487067710,0.0487067713,0.0487067711,0.0487067711,0.0487067708,0.0487067717,0.0487067708,0.0487067710,0.0487067708,0.0487067710,0.0487067709,0.0487067708,0.0487067708,0.0487067708,0.0487067710,0.0487067709,0.0487067713,2.0921363364,2.9618579928,0.0487067708,0.0487067709,0.0487067709,0.0487067711,0.0487067707,0.0487067717,0.0487067708,65.0696087697,0.0487067721,0.0487067712,0.0487067708,0.0487067710,0.0487067708,0.0487067709,0.0487067707,0.0487067707
"A new look at pattern matching in abstract data types - Brian T. Howard","ICFP 1996",0.0487067712,0.0487067713,0.0487067708,0.0487067707,0.0487067709,0.0487067708,8.9012658185,0.0487067709,0.0487067711,0.0487067709,0.0487067710,0.0487067709,0.0487067709,0.0487067708,0.0487067709,1.5168496133,0.0487067708,0.0487067709,22.7034867938,0.0487067708,0.0487067713,0.0487067710,0.0487067708,0.0487067707,0.0487067708,0.0487067707,0.0487067709,0.0487067708,0.0487067710,0.0487067707,0.0487067714,0.0487067707,0.0487067707,1.5501354030,0.0487067707,0.0487067710,0.0487067708,0.0487067714,4.2070617665,0.0487067709,0.0487067708,0.0487067713,0.0487067707,13.0855667232,0.0487067707,0.0487067709,0.0487067708,16.3765812597,0.0487067708,0.0487067713
"Simplifying subtyping constraints - Pedro Palao Gostanza Ricardo Peña Manuel Núñez","ICFP 1996",8.7890870112,0.0487067711,0.0487067710,0.0487067707,0.0487067712,0.0487067710,0.0487067714,0.0487067711,162.5407780777,0.0487067713,7.7698827932,0.0487067713,0.0487067709,0.0487067709,0.0487067709,0.0487067710,0.0487067709,2.2692692072,0.0487067713,21.4231887157,8.3918605765,0.0487067710,0.0487067708,0.0487067712,0.0487067709,0.0487067708,0.0487067711,0.0487067710,0.0487067710,0.0487067710,3.0851602319,0.0487067709,0.0487067710,1.6596438522,0.0487067709,0.0487067712,0.0487067709,0.0487067712,0.0487067714,3.6629273276,0.0487067709,0.0487067711,0.0487067708,2.1428448857,2.9195193468,20.1174093673,0.0487067708,0.0487067712,8.8616166054,0.0487067715
"Complexity of kernel Fun subtype checking - François Pottier","ICFP 1996",0.0487067710,0.0487067712,0.0487067708,1.1428187381,0.0487067711,0.0487067713,0.0487067716,0.0487067709,0.0487067710,0.0487067711,0.0487067710,0.0487067710,0.0487067709,0.0487067711,0.0487067711,0.0487067709,0.0487067709,0.0487067709,0.0487067711,20.4891394728,0.0487067722,0.0487067708,0.0487067710,0.0487067711,0.0487067711,0.0487067714,0.0487067707,0.0487067711,0.0487067708,0.0487067711,0.0487067709,0.0487067710,1.5102463805,1.6637459396,0.0487067711,0.0487067709,0.0487067709,22.3427894490,0.0487067708,9.1063837756,0.0487067709,0.0487067710,1.7777087685,11.1127673482,0.0487067712,0.0487067709,0.0487067710,0.0487067709,2.2927610417,0.0487067712
"The semantics of Scheme with future - Giorgio Ghelli","ICFP 1996",0.0487067711,0.0487067706,0.0487067710,0.0487067707,0.0487067707,0.0487067711,0.0487067707,0.0487067707,0.0487067714,0.0487067709,0.0487067707,6.2198039466,5.7451065974,0.0487067708,0.0487067711,0.0487067709,0.0487067710,0.0487067711,0.0487067708,0.0487067707,0.0487067708,0.0487067723,0.0487067707,0.0487067708,0.0487067708,0.0487067706,0.0487067707,0.0487067709,0.0487067723,0.0487067708,0.0487067707,3.6742550731,0.0487067707,0.0487067708,0.0487067712,0.0487067707,0.0487067707,9.1818711260,0.0487067706,0.0487067706,0.0487067707,0.0487067708,1.4224970931,0.0487067714,0.0487067710,0.0487067712,0.0487067707,0.0487067710,0.0487067706,0.0487067707
"First-class synchronization barriers - Luc Moreau","ICFP 1996",0.0487067708,0.0487067708,0.0487067707,0.0487067707,0.0487067708,0.0487067710,0.0487067708,0.0487067708,0.0487067708,0.0487067707,0.0487067707,0.0487067707,0.0487067710,0.0487067707,0.0487067708,0.0487067709,0.0487067707,0.0487067709,0.0487067708,0.0487067708,0.0487067708,0.0487067708,0.0487067707,0.0487067707,174.2306338454,0.0487067711,0.0487067709,0.0487067707,0.0487067708,0.0487067707,0.0487067706,1.5249038198,0.0487067709,0.0487067708,0.0487067709,0.0487067707,1.3905826333,0.0487067713,0.0487067707,0.0487067709,0.0487067708,0.0487067709,0.0487067707,0.0487067714,0.0487067708,0.0487067709,0.0487067708,0.0487067707,0.0487067708,0.0487067708
"pHluid: the design of a parallel functional language implementation on workstations - Franklyn Turbak","ICFP 1996",0.0487067707,1.3902162661,0.0487067707,0.0487067707,0.0487067709,0.0487067709,0.0487067708,0.0487067707,0.0487067709,0.0487067709,0.0487067711,0.0487067708,0.0487067707,0.0487067707,0.0487067708,0.0487067709,0.0487067708,1.1266597200,0.0487067708,0.0487067709,0.0487067710,0.0487067708,0.0487067707,0.0487067707,338.2294771338,0.0487067709,0.0487067710,0.0487067708,0.0487067708,0.0487067708,0.0487067707,0.0487067707,0.0487067707,7.3857272040,0.0487067707,0.0487067708,0.0487067707,0.0487067707,0.0487067707,0.0487067709,3.1114535167,0.0487067709,0.0487067707,0.0487067713,0.0487067708,0.0487067707,0.0487067707,0.0487067708,0.0487067708,0.0487067707
"Cogen in six lines - Cormac Flanagan Rishiyur S. Nikhil","ICFP 1996",0.0487067709,0.0487067709,0.0487067713,0.0487067709,2.3392109684,0.0487067710,0.0487067710,0.0487067709,18.8677552674,0.0487067710,0.0487067709,0.0487067709,0.0487067708,0.0487067709,0.0487067709,0.0487067710,0.0487067710,0.0487067712,0.0487067708,0.0487067711,0.0487067710,0.0487067710,20.9334738669,0.0487067711,0.0487067709,0.0487067710,0.0487067708,0.0487067709,0.0487067710,0.0487067709,0.0487067708,0.0487067709,0.0487067708,6.0426960697,0.0487067713,0.0487067709,0.0487067709,13.2823773867,1.3333222223,3.9366903901,0.0487067709,15.6541279753,0.0487067708,0.0487067709,0.0487067709,0.0487067710,0.0487067709,0.0487067709,0.0487067711,0.0487067709
"A probabilistic approach to the problem of automatic selection of data representations - Peter J. Thiemann","ICFP 1996",0.0487067708,0.0487067769,0.0487067716,0.0487067706,0.0487067713,0.0487067706,15.1740027383,2.3378751544,0.0487067710,0.0487067707,0.0487067706,0.0487067707,7.5740287000,0.0487067706,0.0487067711,0.0487067708,0.0487067706,0.0487067712,0.0487067707,0.0487067706,0.0487067706,0.0487067707,0.0487067706,0.0487067707,0.0487067709,0.0487067708,0.0487067708,0.0487067709,0.0487067707,0.0487067706,0.0487067711,0.0487067705,1.0709176276,0.0487067706,0.0487067706,0.0487067706,0.0487067708,0.0487067714,0.0487067707,0.0487067708,0.0487067707,0.0487067712,0.0487067705,1.0867096144,0.0487067710,0.0487067709,0.0487067711,0.0487067708,0.0487067707,0.0487067707
"A theory of weak bisimulation for core CML - Tyng-Ruey Chuang Wen L. Hwang","ICFP 1996",0.0487067709,5.1515945983,0.0487067708,4.4618491841,0.0487067710,0.0487067707,0.0487067712,0.0487067709,100.4851131282,0.0487067709,9.1583796231,2.8474418400,104.8324872776,0.0487067708,0.0487067711,4.4378963966,0.0487067707,36.6634050898,0.0487067709,0.0487067712,0.0487067711,0.0487067712,0.0487067708,0.0487067708,0.0487067712,0.0487067708,0.0487067710,1.2295515725,0.0487067712,0.0487067710,0.0487067708,0.0487067708,0.0487067708,0.0487067710,0.0487067714,0.0487067709,0.0487067710,0.0487067709,0.0487067707,3.2584947580,0.0487067710,0.0487067713,0.0487067712,0.0487067711,0.0487067708,0.0487067711,0.0487067710,9.0095609904,0.0487067708,0.0487067711
"Functional back-ends within the lambda-sigma calculus - Amr Sabry Philip Wadler","ICFP 1996",0.0487067708,0.0487067708,0.0487067709,5.1874658067,38.7912030591,0.0487067707,0.0487067711,0.0487067709,0.0487067708,0.0487067709,27.6295955048,0.0487067708,0.0487067710,0.0487067707,0.0487067709,0.0487067711,0.0487067707,0.0487067709,0.0487067708,0.0487067713,0.0487067712,0.0487067709,0.0487067708,0.0487067708,0.0487067710,0.0487067707,0.0487067707,0.0487067707,0.0487067709,0.0487067708,0.0487067709,0.0487067707,0.0487067709,5.4939522101,0.0487067706,0.0487067709,0.0487067709,0.0487067708,0.0487067707,19.8223523009,0.0487067708,2.3676717268,0.0487067714,0.0487067711,0.0487067708,0.0487067709,0.0487067707,0.0487067710,0.0487067708,0.0487067710
"A provable time and space efficient implementation of NESL - William Ferreira Matthew Hennessy Alan Jeffrey","ICFP 1996",0.0487067709,0.0487067708,0.0487067711,1.2423193602,0.0487067713,0.0487067706,0.0487067710,0.0487067708,0.0487067712,0.0487067709,0.0487067709,0.0487067711,0.0487067711,0.0487067707,0.0487067710,0.0487067710,0.0487067707,14.2413317160,0.0487067708,0.0487067709,0.0487067709,0.0487067711,0.0487067707,0.0487067707,0.0487067709,0.0487067706,0.0487067708,0.0487067710,0.0487067711,0.0487067711,0.0487067709,0.0487067709,4.2952760759,0.0487067708,0.0487067707,0.0487067707,0.0487067710,0.0487067713,0.0487067706,0.0487067708,0.0487067709,0.0487067711,0.0487067708,0.0487067714,0.0487067710,0.0487067709,0.0487067710,17.4158999128,0.0487067707,0.0487067709
"Synchronous Kahn networks - Guy E. Blelloch John Greiner","ICFP 1996",0.0487067709,0.0487067710,0.0487067713,1.7193928242,0.0487067708,0.0487067707,0.0487067725,0.0487067709,26.2257972723,0.0487067710,2.3603831535,0.0487067709,0.0487067710,0.0487067707,0.0487067711,0.0487067713,0.0487067708,14.4983507963,3.2088041629,0.0487067709,0.0487067711,0.0487067710,0.0487067716,0.0487067712,0.0487067710,0.0487067707,0.0487067711,0.0487067708,0.0487067710,0.0487067708,0.0487067712,0.0487067707,0.0487067709,1.3892811758,0.0487067711,0.0487067709,0.0487067710,9.5125969734,4.8954705480,13.2685516611,2.0949425030,0.0487067713,23.3622033864,0.0487067708,0.0487067709,0.0487067712,0.0487067708,0.0487067712,0.0487067709,0.0487067710
"Enriching the lambda calculus with contexts: toward a theory of incremental program construction - Paul Caspi Marc Pouzet","ICFP 1996",0.0487067709,0.0487067711,0.0487067708,0.0487067705,6.3327094415,0.0487067706,0.0487067710,0.0487067708,5.2282216984,0.0487067715,0.0487067710,0.0487067712,0.0487067714,0.0487067709,1.5752978122,3.2710837587,0.0487067706,0.0487067715,0.0487067708,0.0487067707,0.0487067713,0.0487067712,0.0487067706,0.0487067710,3.7592268737,0.0487067710,0.0487067709,0.0487067707,0.0487067712,0.0487067707,0.0487067707,0.0487067706,0.0487067706,12.0663320115,0.0487067707,0.0487067712,0.0487067708,0.0487067714,0.0487067707,21.0891824340,0.0487067709,11.0676001183,0.0487067708,0.0487067708,0.0487067709,0.0487067710,0.0487067708,0.0487067708,0.0487067710,0.0487067708
"Sharing code through first-class environments - Shinn-Der Lee Daniel P. Friedman","ICFP 1996",0.0487067713,0.0487067710,0.0487067708,0.0487067710,0.0487067710,0.0487067710,14.1970178653,0.0487067709,0.0487067709,0.0487067708,24.4446662620,0.0487067708,0.0487067709,0.0487067707,0.0487067711,0.0487067709,0.0487067707,0.0487067710,4.3161742832,0.0487067715,0.0487067706,0.0487067713,0.0487067709,0.0487067709,0.0487067709,0.0487067708,0.0487067708,0.0487067708,0.0487067713,1.3935132277,0.0487067708,0.0487067709,0.0487067708,3.6731800830,0.0487067707,0.0487067709,0.0487067712,3.6359284539,0.0487067708,0.0487067709,0.0487067710,0.0487067713,0.0487067709,0.0487067710,0.0487067708,0.0487067719,1.6804672007,0.0487067710,0.0487067708,0.0487067710
"Mixin modules - Christian Queinnec David de Roure","ICFP 1996",5.7135517431,0.0487067709,0.0487067707,0.0487067710,0.0487067707,0.0487067708,0.0487067713,0.0487067711,0.0487067710,0.0487067709,1.5174528315,0.0487067716,0.0487067710,0.0487067709,0.0487067712,0.0487067710,0.0487067707,7.1450627671,0.0487067712,0.0487067717,0.0487067707,0.0487067707,0.0487067711,0.0487067711,0.0487067708,0.0487067716,0.0487067708,0.0487067710,0.0487067707,0.0487067710,0.0487067708,0.0487067710,0.0487067710,0.0487067707,0.0487067710,0.0487067709,2.5442569772,0.0487067712,0.0487067707,0.0487067707,0.0487067709,28.3232095139,0.0487067709,0.0487067710,0.0487067709,0.0487067709,0.0487067714,0.0487067709,0.0487067708,0.0487067710
"Lag, drag, void and use—heap profiling and space-efficient compilation revisited - Thérèse Hardin Luc Maranget Bruno Pagano","ICFP 1996",0.0487067714,0.0487067708,0.0487067709,1.3734224355,0.0487067711,0.0487067707,0.0487067711,0.0487067708,0.0487067716,0.0487067709,0.0487067713,0.0487067708,0.0487067711,0.0487067707,0.0487067711,0.0487067709,0.0487067710,0.0487067711,0.0487067708,0.0487067708,0.0487067710,0.0487067708,0.0487067715,0.0487067710,0.0487067714,0.0487067709,0.0487067712,0.0487067708,0.0487067708,0.0487067710,0.0487067707,0.0487067707,0.0487067710,7.7348818062,1.2040714568,0.0487067707,0.0487067708,0.0487067714,0.0487067708,12.8624741029,2.1670553577,58.1701426970,0.0487067707,11.6224181232,0.0487067708,0.0487067715,3.0297627772,1.2741321602,0.0487067710,0.0487067709
"Static and dynamic partitioning of pointers as links and threads - Niklas Röjemo Colin Runciman","ICFP 1996",0.0487067708,0.0487067708,0.0487067710,0.0487067709,0.0487067708,0.0487067711,0.0487067716,0.0487067710,0.0487067708,0.0487067708,4.1318022657,0.0487067707,0.0487067710,0.0487067710,3.4732804451,0.0487067712,0.0487067709,0.0487067713,0.0487067708,0.0487067708,0.0487067709,0.0487067713,0.0487067708,0.0487067710,5.2294617660,1.6282097796,0.0487067710,0.0487067707,0.0487067713,0.0487067710,0.0487067708,0.0487067713,0.0487067708,1.4459842746,0.0487067708,0.0487067707,9.5374742123,0.0487067709,0.0487067708,0.0487067708,0.0487067710,0.0487067708,0.0487067710,4.6782405467,0.0487067709,0.0487067715,0.0487067708,0.0487067714,0.0487067707,3.2652008564
