Title,Conference,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74
"A reflection on call-by-value - Simon Peyton Jones Will Partain André Santos","ICFP 1996",0.0346371867,0.0346371867,16.8483328705,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,38.7371261964,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.7744906585,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,30.1130064097,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,6.7002297985,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"Inductive, coinductive, and pointed types - Julia L. Lawall Harry G. Mairson","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,7.9492442949,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.8013070852,0.0346371867,0.0346371867,0.0346371867,1.1963706835,66.2378517422,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.3343539112,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,4.6886954032,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"A new look at pattern matching in abstract data types - Brian T. Howard","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,28.2748666952,0.0346371867,3.1631656485,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,11.0692555518,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.6330403908,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,23.0328576472,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"Simplifying subtyping constraints - Pedro Palao Gostanza Ricardo Peña Manuel Núñez","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,7.2389030569,11.9663841485,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,133.2622285668,0.0346371867,7.8464977335,0.0346371867,0.0346371867,30.7253633950,0.0346371867,2.1474312360,0.0346371867,1.5500424934,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,14.6951331951,0.0346371867,0.0346371867,0.0346371867,0.0346371867,7.6528225743,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,3.7142586101,19.1416787483,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.2318797025,0.0346371867,0.0346371867,0.0346371867,2.6645780538,0.0346371867,0.0346371867,0.0346371867,0.0346371867,9.6477190998,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"Complexity of kernel Fun subtype checking - François Pottier","ICFP 1996",0.0346371867,0.0346371867,4.5872968325,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.9330441821,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,38.9279105859,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.4734483063,18.4170988197,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,3.2069728701,0.0346371867,0.0346371867,0.0346371867,2.6966887104,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"The semantics of Scheme with future - Giorgio Ghelli","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.5128154144,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,3.8739938147,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,3.7402479593,0.0346371867,0.0346371867,0.0346371867,13.6185866927,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.0428164469,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.4193627923,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"First-class synchronization barriers - Luc Moreau","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,154.0467823419,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,12.4962068368,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.2442569991,0.0346371867,0.0346371867,1.1764226675,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,8.2095170883,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"pHluid: the design of a parallel functional language implementation on workstations - Franklyn Turbak","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,338.0435686950,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.2026130093,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.1843797893,0.0346371867,0.0346371867,0.0346371867,8.7079872533,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"Cogen in six lines - Cormac Flanagan Rishiyur S. Nikhil","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.4467992367,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.9943590836,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,7.0696879410,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,53.3781995590,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,7.2067780825,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,3.9144934717,0.0346371867,0.0346371867,0.0346371867,0.0346371867,5.2321429326,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"A probabilistic approach to the problem of automatic selection of data representations - Peter J. Thiemann","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,5.5692238555,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,3.1333642278,0.0346371867,0.0346371867,18.4013234768,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
