Year,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,PLDI Topic 10,PLDI Topic 11,PLDI Topic 12,PLDI Topic 13,PLDI Topic 14,PLDI Topic 15,PLDI Topic 16,PLDI Topic 17,PLDI Topic 18,PLDI Topic 19,PLDI Topic 20,PLDI Topic 21,PLDI Topic 22,PLDI Topic 23,PLDI Topic 24,PLDI Topic 25,PLDI Topic 26,PLDI Topic 27,PLDI Topic 28,PLDI Topic 29,PLDI Topic 30,PLDI Topic 31,PLDI Topic 32,PLDI Topic 33,PLDI Topic 34,PLDI Topic 35,PLDI Topic 36,PLDI Topic 37,PLDI Topic 38,PLDI Topic 39,PLDI Topic 40,PLDI Topic 41,PLDI Topic 42,PLDI Topic 43,PLDI Topic 44,PLDI Topic 45,PLDI Topic 46,PLDI Topic 47,PLDI Topic 48,PLDI Topic 49,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9,POPL Topic 10,POPL Topic 11,POPL Topic 12,POPL Topic 13,POPL Topic 14,POPL Topic 15,POPL Topic 16,POPL Topic 17,POPL Topic 18,POPL Topic 19,POPL Topic 20,POPL Topic 21,POPL Topic 22,POPL Topic 23,POPL Topic 24,POPL Topic 25,POPL Topic 26,POPL Topic 27,POPL Topic 28,POPL Topic 29,POPL Topic 30,POPL Topic 31,POPL Topic 32,POPL Topic 33,POPL Topic 34,POPL Topic 35,POPL Topic 36,POPL Topic 37,POPL Topic 38,POPL Topic 39,POPL Topic 40,POPL Topic 41,POPL Topic 42,POPL Topic 43,POPL Topic 44,POPL Topic 45,POPL Topic 46,POPL Topic 47,POPL Topic 48,POPL Topic 49
1997,30,7.534110621,48.9617630437,7.32022695366,39.092173562,379.479866972,0.25988129254,57.6423943568,0.0227759387,0.25988129254,22.915843415,159.556446103,66.7671376179,56.6875582423,22.739535717,144.885067562,42.1788406039,0.0227759387,7.534110621,26.6769471481,109.770337934,110.504950627,0.0227759387,0.0227759387,69.6956942156,36.7003577201,7.33957672845,27.5725382204,6.18085728325,36.07420758,4.90520769249,0.316175836497,415.035305395,9.98794075584,312.876369967,30.1758037693,0.0227759387,267.337324403,10.6671355757,110.873156046,82.9871057952,11.0709948664,0.0227759387,152.422665887,0.316175836497,55.7263049604,99.4946437768,370.216680073,444.362052701,0.0227759387,295.078016591,36,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387,0.0227759387
1981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,32.1741402342,12.693088733,76.876752939,325.295328099,57.7932040525,19.2296331479,31.3560034455,304.369512112,19.2296331479,4.82093007642,1.67973494317,1.44332646064,82.3927039198,72.3031929815,104.69994154,63.9892823229,0.435002540648,32.1741402342,0.0227759387,0.0227759387,0.0227759387,0.0227759387,31.7034385909,284.630649988,36.4862575122,3.03735865325,259.945250071,6.73622978992,34.1710290498,127.27328559,1.22883399818,13.4783138501,2.23154492522,76.3296069835,20.9812586179,4.22637222773,131.089798912,310.270247666,0.660446801404,4.77019501956,37.1706834409,0.0227759387,8.52485809087,1.22883399818,74.5265465696,23.5416610875,4.28077987473,1.91991077108,0.0227759387,108.646676555
1986,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,112.109501235,0.653526062972,0.914628864034,153.727539304,158.683848835,37.7995310492,8.8025902063,179.228087007,37.7995310492,8.39441525029,19.1468518702,69.1835840397,13.2343091784,43.3159897283,10.6812595671,15.5330189825,64.1760393258,112.109501235,275.34345519,1.56071538746,83.8395344244,44.986982965,4.65456561211,22.4984095099,91.9288259034,14.1954120422,252.45478356,0.409765770566,13.4227520226,194.300862528,3.59254533438,96.3293784754,62.7927131184,140.075420701,2.52466491996,3.06651804818,26.8940254532,505.943983069,2.36622610457,8.34133258713,48.5567194859,136.268991015,18.2373242897,3.59254533438,11.1141896829,16.4786604609,2.8416272825,2.06567332464,5.04732129463,79.3673951094
1987,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3.98036475714,0.0227759387,0.251569057668,54.9499346792,8.42483637392,161.407340537,43.0856435413,235.734680987,161.407340537,0.0227759387,62.4882088289,5.04792088877,247.927296729,51.5693457901,94.5868432086,33.2378205891,0.0227759387,3.98036475714,169.750388004,8.71954831982,21.3509881005,0.0227759387,165.896485415,31.9260917264,210.027127317,24.6476577149,218.120580738,0.0227759387,128.00007169,52.0743310174,30.5587657452,38.3201111823,11.4705149324,9.03725282502,2.1762961733,0.0227759387,84.679926291,80.2470283934,10.3007255012,212.197527396,90.4881683178,247.766132133,6.67315363889,30.5587657452,11.3110693761,14.6052712788,8.98362295471,1.68824739398,4.40063049857,51.1961502193
1984,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,21.9830148157,0.0227759387,0.13797914679,244.26651266,10.1985035541,61.795371539,26.4915118729,234.920788372,61.795371539,0.0227759387,30.187293461,0.0227759387,108.116458579,33.4395500423,158.182818981,40.9355044752,0.504357875097,21.9830148157,209.488810274,10.1860609314,5.30095596619,0.0227759387,2.11852393985,74.6154952672,257.665790552,8.94359881001,91.1380084962,2.73509606823,107.886651831,11.8687466019,41.4748365731,52.8706604317,4.16109861695,39.3442352442,16.0411121646,0.0227759387,77.7069818275,191.896216398,0.0227759387,119.47473993,208.233976951,66.2480908969,26.2471096634,41.4748365731,62.1223299773,68.0980007482,3.06151780537,3.25469116928,0.0227759387,86.3186237976
1985,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3.65666646446,0.0227759387,0.0227759387,102.466730139,201.443833843,44.815347851,69.0507107434,300.154910921,44.815347851,5.05508372419,31.9998257686,16.5281887023,77.0547083367,120.651311931,59.1946554481,15.7759250687,0.736563243641,3.65666646446,188.689192345,119.844980701,0.528246852079,0.0227759387,30.0172465141,27.1689535911,156.366754605,2.4811785041,160.847732025,2.32652439884,505.695530034,40.3430079155,3.50808643888,27.3351598748,48.1695540027,92.775851213,4.44990936682,0.0227759387,6.27692500087,152.749896551,6.74538163955,245.304442663,19.5421542104,250.277006275,14.762925055,3.50808643888,5.37654258527,5.58598745548,5.76342518728,3.06962105281,0.956517084248,231.524397098
1982,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,96.7661946501,0.0227759387,51.4727496603,235.596636183,13.6067906202,79.4945431199,4.14129415348,365.189047068,79.4945431199,4.36420775863,7.58205085879,0.0227759387,118.582482522,69.4687597722,67.926173578,40.9157190205,0.0227759387,96.7661946501,20.7585356694,69.6518299683,0.45758186017,0.429167921532,16.0718935469,18.1646651771,156.040184749,7.39728712906,196.701039486,10.9557838811,2.21961435421,9.33599294382,2.33975521282,193.796371256,2.18771363048,68.5430384979,4.89016168542,5.38209486077,2.99061246339,369.296908842,15.8296125748,56.3174704507,5.83372017633,76.7826154043,130.115880842,2.33975521282,44.0379524988,33.7340010907,9.97980829471,13.6713240691,0.0227759387,98.8333381006
1983,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8.93558010621,0.148562666226,9.00148060946,270.218992088,84.0156400032,47.8860281737,3.2923390077,162.238939076,47.8860281737,0.0227759387,0.63171884367,6.58113926044,135.698769479,124.092061848,40.1208546152,131.10687337,123.495971424,8.93558010621,258.592790224,51.2422919055,8.65211155793,0.0227759387,17.328551821,29.9185942042,95.1028824176,0.505566421741,249.376737654,0.0227759387,140.729303358,179.238481652,19.2834449254,39.1929435715,89.5635974177,0.0227759387,2.88118210513,5.23956413936,28.2139970164,25.9633306804,2.42939788008,321.364559114,42.3284856583,135.327596959,4.41166287724,19.2834449254,6.07335117763,18.5567417499,6.01419609785,9.25504340543,0.398238735756,361.811563195
1980,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2.1951114803,0.365561720388,5.6325332798,317.144938598,18.5386004488,26.8397699221,9.0061402626,486.046178904,26.8397699221,0.0227759387,0.0227759387,31.7849088557,152.367817443,74.4310337571,58.6917205307,20.8740836161,0.0227759387,2.1951114803,9.16545209357,0.0227759387,1.67722200285,0.0227759387,2.43293217158,47.97066928,71.8874969706,0.0227759387,195.515597523,0.0227759387,533.372162662,153.791353683,2.31462733638,12.3303342103,47.7330082639,129.965468309,7.36515006858,12.4543051069,5.26611993105,2.00866467678,0.956894598304,110.667997265,9.97565370952,29.5582305356,81.355916942,2.31462733638,58.8459021742,3.79636383451,5.11538684858,7.6988240483,1.68895037665,147.967439851
2003,27,7.55352018467,237.457115932,85.5313353241,36.2127260429,202.651664277,5.19943851184,23.0979249863,0.0227759387,5.19943851184,162.777989833,114.793809829,620.250391893,3.84362878941,99.5884487237,98.4038198961,29.6863042897,0.0227759387,7.55352018467,0.0227759387,152.880340144,31.2676615945,16.2301249874,0.0227759387,67.3212657798,6.23246509469,302.584405167,0.238932887763,7.41913911762,0.0227759387,0.0227759387,0.0227759387,176.749481671,0.0227759387,1.55024731244,40.7092026001,300.956251938,391.981071706,7.88014161309,72.0295730188,9.58948718614,26.087465755,103.704173741,1.10554882543,0.0227759387,126.317779419,354.451408667,266.018027746,991.61269978,0.0227759387,51.6375090311,24,41.3691482252,412.682766847,0.0227759387,37.0973692388,21.3089661428,7.37203323557,357.209972815,0.0227759387,7.37203323557,14.8810951338,32.5708677413,158.058261892,279.343963643,445.49024416,4.83312817504,25.2865244831,0.77045493085,41.3691482252,136.016876133,13.8292987176,0.0227759387,3.89137867955,4.41002747943,109.161747287,66.683847981,69.0117412613,28.8139152119,47.5239692119,20.8213430889,0.0227759387,117.631963898,23.0404044499,235.296992411,8.81331516954,78.9667709453,69.0392863384,8.33657818117,5.14564900287,0.0227759387,5.22154293314,13.1614438064,71.8980552439,2.6362955302,117.631963898,57.7436691468,264.218693285,136.435452543,46.81566687,285.056842442,205.504207971
