Year,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFP Topic 10,ICFP Topic 11,ICFP Topic 12,ICFP Topic 13,ICFP Topic 14,ICFP Topic 15,ICFP Topic 16,ICFP Topic 17,ICFP Topic 18,ICFP Topic 19,ICFP Topic 20,ICFP Topic 21,ICFP Topic 22,ICFP Topic 23,ICFP Topic 24,ICFP Topic 25,ICFP Topic 26,ICFP Topic 27,ICFP Topic 28,ICFP Topic 29,ICFP Topic 30,ICFP Topic 31,ICFP Topic 32,ICFP Topic 33,ICFP Topic 34,ICFP Topic 35,ICFP Topic 36,ICFP Topic 37,ICFP Topic 38,ICFP Topic 39,ICFP Topic 40,ICFP Topic 41,ICFP Topic 42,ICFP Topic 43,ICFP Topic 44,ICFP Topic 45,ICFP Topic 46,ICFP Topic 47,ICFP Topic 48,ICFP Topic 49,OOPSLA # of papers,OOPSLA Topic 0,OOPSLA Topic 1,OOPSLA Topic 2,OOPSLA Topic 3,OOPSLA Topic 4,OOPSLA Topic 5,OOPSLA Topic 6,OOPSLA Topic 7,OOPSLA Topic 8,OOPSLA Topic 9,OOPSLA Topic 10,OOPSLA Topic 11,OOPSLA Topic 12,OOPSLA Topic 13,OOPSLA Topic 14,OOPSLA Topic 15,OOPSLA Topic 16,OOPSLA Topic 17,OOPSLA Topic 18,OOPSLA Topic 19,OOPSLA Topic 20,OOPSLA Topic 21,OOPSLA Topic 22,OOPSLA Topic 23,OOPSLA Topic 24,OOPSLA Topic 25,OOPSLA Topic 26,OOPSLA Topic 27,OOPSLA Topic 28,OOPSLA Topic 29,OOPSLA Topic 30,OOPSLA Topic 31,OOPSLA Topic 32,OOPSLA Topic 33,OOPSLA Topic 34,OOPSLA Topic 35,OOPSLA Topic 36,OOPSLA Topic 37,OOPSLA Topic 38,OOPSLA Topic 39,OOPSLA Topic 40,OOPSLA Topic 41,OOPSLA Topic 42,OOPSLA Topic 43,OOPSLA Topic 44,OOPSLA Topic 45,OOPSLA Topic 46,OOPSLA Topic 47,OOPSLA Topic 48,OOPSLA Topic 49,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,PLDI Topic 10,PLDI Topic 11,PLDI Topic 12,PLDI Topic 13,PLDI Topic 14,PLDI Topic 15,PLDI Topic 16,PLDI Topic 17,PLDI Topic 18,PLDI Topic 19,PLDI Topic 20,PLDI Topic 21,PLDI Topic 22,PLDI Topic 23,PLDI Topic 24,PLDI Topic 25,PLDI Topic 26,PLDI Topic 27,PLDI Topic 28,PLDI Topic 29,PLDI Topic 30,PLDI Topic 31,PLDI Topic 32,PLDI Topic 33,PLDI Topic 34,PLDI Topic 35,PLDI Topic 36,PLDI Topic 37,PLDI Topic 38,PLDI Topic 39,PLDI Topic 40,PLDI Topic 41,PLDI Topic 42,PLDI Topic 43,PLDI Topic 44,PLDI Topic 45,PLDI Topic 46,PLDI Topic 47,PLDI Topic 48,PLDI Topic 49,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9,POPL Topic 10,POPL Topic 11,POPL Topic 12,POPL Topic 13,POPL Topic 14,POPL Topic 15,POPL Topic 16,POPL Topic 17,POPL Topic 18,POPL Topic 19,POPL Topic 20,POPL Topic 21,POPL Topic 22,POPL Topic 23,POPL Topic 24,POPL Topic 25,POPL Topic 26,POPL Topic 27,POPL Topic 28,POPL Topic 29,POPL Topic 30,POPL Topic 31,POPL Topic 32,POPL Topic 33,POPL Topic 34,POPL Topic 35,POPL Topic 36,POPL Topic 37,POPL Topic 38,POPL Topic 39,POPL Topic 40,POPL Topic 41,POPL Topic 42,POPL Topic 43,POPL Topic 44,POPL Topic 45,POPL Topic 46,POPL Topic 47,POPL Topic 48,POPL Topic 49
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2.07216642533,0.0289783694,0.501572806137,9.38925451006,0.944191299737,0.0289783694,0.0289783694,2.3212101052,6.77545688766,0.591261201426,0.0289783694,2.62627420969,0.0289783694,1.38162067231,0.378715822742,0.240137553911,3.21619481679,1.14399076956,0.225118583784,0.0873973400737,7.35889223561,0.783309924895,0.487897066911,0.550276875747,2.76193695222,4.31826663625,0.241034790353,0.0289783694,2.51288065416,0.997044252816,9.19207687927,0.144103772389,3.36416450221,2.07694272906,0.765291424905,0.207992937953,12.9129816415,0.0289783694,0.264224114926,4.53841440772,0.0289783694,0.0289783694,3.85921946069,2.91658874908,1.66819913587,0.642698954279,3.62009069988,1.73527512985,0.0289783694,0.0289783694
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.21501832905,0.178720946085,0.0765638836542,2.66859699536,0.518705087265,0.297856833548,0.617917996585,1.22010717702,0.390292152419,0.168765589327,0.289904317915,0.0615447930958,7.70850750475,0.802580097521,19.1265613953,4.18690896041,1.14694155143,1.1209440194,1.11331250696,2.56838789353,1.07293145094,0.418987961075,1.4596004832,1.42123966896,6.42169901892,0.604071252465,3.37699411404,1.68062723011,0.609793116306,4.70302637449,0.996865798746,0.264541293217,0.308541915921,1.11789642712,1.40808903866,1.84531981245,1.2216018955,0.3543006276,6.56578011296,1.57468464452,1.84569565748,0.4475901489,15.8605488302,1.25250834347,1.41206519221,2.15237207567,0.4516328179,6.12327850798,0.927851592273,0.0289783694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.856987064245,0.258476892634,1.06108187804,2.1897437818,2.70255965799,3.27593991428,0.101024327421,1.81732864227,0.428097329348,3.59141006301,1.0999465301,0.194425235283,0.89073400761,6.56684334592,3.33143364282,1.17728485337,0.3591448926,3.83917014313,5.19130683559,5.09556721214,0.0289783694,0.709135129197,1.8329892689,6.48605397288,2.86447228742,3.31068170419,5.05125941876,0.274227054948,1.74631980957,0.219992885214,2.6065101899,0.866861214983,0.604625132128,6.70696974023,0.0289783694,0.219910917228,3.37851342741,1.00252074508,0.0768946476655,7.66838590497,0.0289783694,0.0289783694,4.5334300215,2.51000821783,2.81524515164,0.0869498951379,0.542888203503,0.0289783694,0.407559132745,0.0289783694
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.266360225233,0.289752148521,0.0289783694,0.77542623345,4.46187880282,0.478314469033,0.160593183262,1.01890673686,6.17934499237,2.21087532703,0.342500699388,0.0289783694,0.282179577658,0.674753759942,1.67384906593,0.336647404471,0.518040411421,2.56730309234,0.968476787504,2.36136648056,3.45889976306,1.88150754956,7.19429590916,2.62670963454,0.122367579258,0.377108009563,3.45051916262,0.0989586985583,7.16853669711,1.10196054645,4.17358311538,2.12566920317,1.46907768598,7.72021477893,1.78102816113,0.684827885129,0.31944823315,4.68688736661,0.0289783694,14.0044939173,0.175943501267,0.118396640242,1.45115846119,2.53822829068,1.4849052256,0.157423213212,1.28511145897,1.28167279089,6.91083544929,0.0289783694
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.686310372809,0.445689312473,0.252037067395,3.47875388173,0.173338215609,0.379067451814,0.167718779132,3.63104593455,0.0689784586818,0.7673361471,10.0958931093,0.0289783694,2.9249875534,2.32589273075,9.04222762069,0.176520713809,1.04732346059,6.77015854147,0.213047418395,1.1207043581,9.51752627097,0.687133762918,2.02790433409,2.39816190955,2.87222929075,3.74595792368,1.0750818154,0.147431765364,6.6084169116,0.223643285364,0.794996864482,0.201708835677,0.0804694776182,10.1554526399,0.0289783694,0.833036075273,1.91618269606,0.113183113668,2.96849213256,1.68986879855,0.409380744573,0.184092478905,3.92234251621,3.93533080388,3.0497030863,0.397742651677,0.0289783694,2.52450235383,4.31327405315,0.0289783694
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.0289783694,0.0289783694,3.5441105034,11.5203755874,1.28646030889,0.217305592709,0.292617422682,0.710259177514,0.0289783694,0.0289783694,0.341394251532,0.134366327977,4.00014257819,1.49447681014,7.4942782995,0.805858931,0.708424467532,0.897174383118,0.935972096195,3.7318336548,6.71578748237,1.01526231488,0.414618468555,2.72458932387,0.659367021464,1.30343096079,1.38012139763,0.0289783694,0.100882121786,5.98001733309,0.334683012018,1.21437357718,0.466758491295,0.0289783694,4.9572535562,0.913205416573,5.08015592586,1.27145295533,0.219775000845,2.28326220704,6.55072740392,0.191899217223,10.2400179863,2.02445286661,2.87352982363,0.289235213077,0.811309407359,5.34038929219,0.997415225582,1.94238849489
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.224740044893,0.0289783694,1.71026420845,2.9179760316,1.59024830943,4.11842714838,0.233408358369,4.46273869959,1.2259497384,0.691516868869,0.359879934707,0.919184015559,9.97885900121,2.73316518256,2.43888067113,1.59668133209,0.583831314376,0.700037615159,0.963719751321,1.7987620976,7.10869940442,3.79729792469,7.86325140193,3.77838788344,2.10284070385,0.721278809845,1.25630023831,0.0703081503241,0.629144504466,0.548150573641,2.66427353982,0.0912128102276,0.155707806838,0.477187494859,0.234528721252,0.430785326724,6.53313913221,1.3329681243,1.63622450744,3.28192526016,3.8193691782,0.0289783694,19.1898940763,2.63822285396,7.53842500021,1.30785643958,0.789030870979,8.01367839348,0.482934251545,0.0289783694
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.417410777193,1.51783870165,2.96135025151,3.83738643292,0.239694062793,0.0289783694,4.25521509141,0.206072154781,0.253793901011,1.103810164,3.79562365623,0.183735487248,0.622979634833,1.52092062954,3.24944012023,0.191843445363,0.167615193367,3.74097263169,0.888231414052,0.0289783694,1.20465059769,4.52219229861,2.42109813071,2.41327742919,0.627053576607,1.10437618883,6.35898213416,0.900023231489,1.74284196784,0.343139234607,0.262274458174,0.675405074907,0.992524972167,4.44527319527,0.0289783694,4.10586298272,10.9856550343,0.902546663237,0.143890744037,4.16134941593,1.17109262673,0.0289783694,3.24907851627,2.75436883142,1.4994063125,1.55014568582,1.79080372573,3.29861993859,0.67946510903,0.466265758678
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.0289783694,0.653932357446,0.178123794658,6.24970690952,2.04580571024,4.56985510525,0.0973073186083,0.728995271275,0.153802078417,0.0961693369708,0.479911320942,0.0289783694,14.0632173581,1.43528111058,5.04576480854,2.07684054992,0.0907742283208,0.177500300183,0.281000744125,4.23610673702,0.09044952065,8.07438101472,11.8545442624,9.85118278262,8.16875863102,0.973597956188,2.2306729979,0.0289783694,4.04141281756,5.19686464887,0.375095594163,0.143116629596,0.0289783694,0.810715529867,0.879233666742,3.86188721998,0.370203868467,2.91535288313,2.72462333572,0.507445193604,0.190170933721,0.134801389675,4.44511291168,0.813187425158,0.676639349308,0.0289783694,0.573545825988,1.26476068712,0.6158246964,0.36034981065
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4.85452286254,0.234707104889,1.14424051382,9.64187612269,0.110039201663,0.652547415316,0.726770983289,3.30297149483,1.06938857938,0.0289783694,0.118098512532,1.6657540401,6.91128622782,1.13622751232,4.68434140731,0.986600754432,2.35816464222,0.594010417732,0.379435991784,0.823329118326,0.1121554308,0.752687307389,3.42264486111,2.78587834158,8.34167220262,0.631247765442,3.09127239387,0.648302065568,1.50887000128,3.21956324971,0.1015498215,2.57413053909,0.0289783694,2.22131555417,0.838737092058,1.51731108964,2.82576683567,1.09716162146,7.0315479147,6.54453876396,0.0289783694,0.0289783694,2.8616090239,6.97408230183,3.28855945274,0.0289783694,6.20387161112,4.90135616314,1.54279868321,0.0289783694
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.224797916208,0.0289783694,2.22517935247,7.02296803056,4.14813063893,0.316628862404,0.786518237054,0.111663920587,0.0289783694,0.274218268612,0.379740602867,0.506420956792,5.40196652362,1.7404421781,4.15661610497,1.01893546693,0.551050636988,1.04280124837,1.8215506045,3.57421459522,13.013036083,2.78502455536,0.991967919817,7.6880590897,6.33345830662,2.88843340718,3.03301366825,0.240446365046,1.60218192486,0.667307188017,0.332437490967,0.840582312396,0.0289783694,4.03940713584,0.112311672642,1.09911177111,0.585818448092,2.29029874887,2.11692461845,3.14223170993,0.0289783694,0.0289783694,4.80332116248,0.414090438846,7.32408593396,0.0905831854333,0.516550510875,10.2160294752,0.762824318917,0.0289783694
