Year,# of papers,Verification,"Algorithms, invariants, and program logics",Code generation,OOP,Logic/semantics,Software engineering,OOP/design,Garbage collection,Parallelism,Java,Bug finding,FP,Web + JS,Information flow,Systems,Compilers,Static analysis,Concurrency,Modules and interfaces,Types,# of papers,Verification,"Algorithms, invariants, and program logics",Code generation,OOP,Logic/semantics,Software engineering,OOP/design,Garbage collection,Parallelism,Java,Bug finding,FP,Web + JS,Information flow,Systems,Compilers,Static analysis,Concurrency,Modules and interfaces,Types,# of papers,Verification,"Algorithms, invariants, and program logics",Code generation,OOP,Logic/semantics,Software engineering,OOP/design,Garbage collection,Parallelism,Java,Bug finding,FP,Web + JS,Information flow,Systems,Compilers,Static analysis,Concurrency,Modules and interfaces,Types,# of papers,Verification,"Algorithms, invariants, and program logics",Code generation,OOP,Logic/semantics,Software engineering,OOP/design,Garbage collection,Parallelism,Java,Bug finding,FP,Web + JS,Information flow,Systems,Compilers,Static analysis,Concurrency,Modules and interfaces,Types
1973,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,16,0.4193526219,10.2669822972,2.0278763925,0.0320940909,0.1212822332,2.9966901131,0.0320940909,1.177477499,7.2473279702,6.5304025368,9.6338868346,1.2278544975,4.5161760475,1.2954716319,4.9828246476,22.7359061146,3.8483333562,16.8363130616,10.8254753712,0.1380604094
1975,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,19,15.2583987249,17.2254425108,2.0343446282,2.2943858797,3.1118078489,0.7543370873,1.1832672111,9.3407861799,6.403971156,7.0672403836,12.2349208464,0.4301313378,1.6966438168,5.3403122649,0.8556776614,7.8005759616,2.8530988532,8.8271878,0.0320940909,0.5288365218
1976,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,19,10.6338836919,8.6691223634,3.1783620676,0.0320940909,4.7483795386,0.0320940909,3.7519803377,0.258305685,4.4203229744,5.776143723,5.5273361521,8.4728077186,0.2716400904,12.8920930766,3.824994483,1.9583932218,14.6084007699,7.1677554755,0.0320940909,3.069888702
1977,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,22,7.4233558611,15.7669782027,0.6951230765,1.1487182244,0.1792446897,4.0155567129,0.432419469,2.1331639714,15.0911050276,2.7913609445,5.5219537192,3.5531034318,3.7782167639,6.8262813515,4.378458949,5.7245433797,8.5345692179,13.1265588036,1.624397123,3.033136535
1978,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,23,7.3119868901,5.4327124941,1.9205035196,1.5580179491,0.0320940909,0.0320940909,0.6356163701,5.3090064779,20.7045531116,0.8249390459,11.3789567433,1.1437372111,0.0320940909,4.9088826824,0.6407052503,17.7592884159,2.4798470768,20.5853135437,2.7075313017,3.0266101575
1979,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,24,13.8952805528,9.9215968275,2.6623499043,0.1935130413,1.7154041824,0.0320940909,0.094160913,5.1755047017,18.4605156601,1.8362034368,18.091525919,0.8826313855,2.725482275,5.5825463709,0.7054593297,12.3256706983,3.2864943361,8.0096303745,6.1415229333,0.8626282181
1980,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,24,3.0551197253,15.8586651992,0.0320940909,1.6524987768,2.7916471366,1.3705504656,0.0320940909,5.8909947664,12.0731183253,3.0857433738,21.0003497638,0.0320940909,0.0320940909,13.0028800354,0.8535637402,9.7952910277,3.4207024958,15.7075456948,3.1807041688,1.2741307587
1981,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,19,5.2839169548,8.8618421275,12.4061013496,0.0320940909,1.5105852421,0.4068986243,0.0320940909,10.4692413821,9.0143477714,11.5196953654,13.8089585829,1.0507475834,2.8660959122,10.2536737216,3.3779728248,3.4901312947,9.1455781074,4.5932215655,2.8964430602,4.7801369029
1982,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,29,4.2650298673,11.6456208195,1.8150806407,0.0320940909,0.4108224815,0.0320940909,1.6405797197,4.6959300778,33.8567322907,6.1994686464,8.5170591581,2.1149454759,0.0320940909,9.0000409934,0.5852188732,9.29708186,5.2852225568,19.7666827488,4.5868567886,3.2425368916
1983,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,27,17.2417274305,5.2902487413,0.4229885183,2.0178019063,5.6718393144,3.5323689373,4.0899146611,1.2361308655,7.3302147114,1.5086939354,1.7568591728,2.2419216291,1.4485801046,5.8508797252,0.0320940909,3.4648361064,16.2788518902,3.5566698803,3.3425175766,6.9193352128
