Year,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,PLDI Topic 10,PLDI Topic 11,PLDI Topic 12,PLDI Topic 13,PLDI Topic 14,PLDI Topic 15,PLDI Topic 16,PLDI Topic 17,PLDI Topic 18,PLDI Topic 19,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9,POPL Topic 10,POPL Topic 11,POPL Topic 12,POPL Topic 13,POPL Topic 14,POPL Topic 15,POPL Topic 16,POPL Topic 17,POPL Topic 18,POPL Topic 19
1997,30,58.3441522149,245.534708744,28.0247658558,222.306259472,754.066148164,0.0362387941,116.632957262,74.9505161629,0.0362387941,239.525826177,267.068848819,680.603323684,73.586656585,126.261645966,990.743083131,53.8264177691,0.0362387941,58.3441522149,34.4615046067,143.535092672,36,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941,0.0362387941
1981,0,,,,,,,,,,,,,,,,,,,,,23,40.330594265,145.533627094,81.5186694048,596.207334408,274.126129883,44.9678589758,63.1341348309,645.744431893,44.9678589758,6.23231503103,70.649480775,148.072529896,345.643991149,118.861638864,35.0627367182,50.0288225049,4.80610015644,40.330594265,8.63167538554,86.9177296669
1986,0,,,,,,,,,,,,,,,,,,,,,29,134.556874411,116.504593899,52.6615814133,606.088139499,354.085512728,116.76964353,31.7752913893,331.102706143,116.76964353,2.27393495236,299.580290821,79.6359007788,79.3431029447,82.4371345118,88.0572608374,24.7806902274,143.945992903,134.556874411,373.421338036,51.826544778
1987,0,,,,,,,,,,,,,,,,,,,,,28,94.1484751431,121.546830468,44.7084431369,169.197273292,104.072279942,255.189991093,233.642592608,347.162690006,255.189991093,0.0362387941,384.093923588,52.4218711596,446.577680988,160.015994994,60.3470039061,17.7597879893,2.91228361516,94.1484751431,297.358954641,4.44399428119
1984,0,,,,,,,,,,,,,,,,,,,,,31,128.017959879,55.7451308498,19.0160527787,627.574922863,186.694287818,75.0003335256,186.584695243,321.041128447,75.0003335256,10.2539835729,230.983445393,25.2696400493,120.427488023,134.481014472,138.342402632,16.5338192356,9.69619171074,128.017959879,424.177117876,31.8023519796
1985,0,,,,,,,,,,,,,,,,,,,,,29,51.0337073444,129.927332944,4.88072370723,781.196783338,500.628214371,60.7651353962,65.0926279949,343.244963812,60.7651353962,5.97881277486,174.321735803,77.2977677202,317.045105078,103.238711792,73.1431383896,7.17989727023,160.159523941,51.0337073444,447.475763268,44.3159881973
1982,0,,,,,,,,,,,,,,,,,,,,,37,113.177306713,51.7179390106,96.9005720706,657.925319943,162.062726694,153.826164211,16.8658072784,551.834813959,153.826164211,6.93180734435,106.363100513,4.8511805051,178.347736734,205.765325934,268.112595825,31.7076521994,6.56463953126,113.177306713,55.5766665476,40.5953553532
1983,0,,,,,,,,,,,,,,,,,,,,,27,34.0858385671,24.7224027044,24.7963518082,496.653887758,631.637381542,76.5670288755,7.89923214191,300.683922661,76.5670288755,2.6982110706,31.5630560487,12.3160301522,124.179295084,420.093118241,144.64302503,112.282848995,169.45109242,34.0858385671,551.410219302,95.9074845574
1980,0,,,,,,,,,,,,,,,,,,,,,24,7.29962526202,46.2454548857,6.98785791295,847.990809702,251.937944368,44.6043571723,27.5153926917,576.97077014,44.6043571723,3.72385784793,23.440293262,53.8785596578,376.657484865,199.312590022,19.7442479676,105.816034572,38.313283507,7.29962526202,223.909937537,21.6389587415
2003,27,38.6172929945,459.348746682,394.495282225,19.8416503091,227.897245742,0.0362387941,7.36860692374,0.0362387941,0.0362387941,496.160831965,118.372326022,1271.31763752,48.6921947822,342.097337442,857.509372517,563.382572784,0.0362387941,38.6172929945,15.2184515669,347.087422676,24,49.8407197079,430.800080941,52.6239607308,49.1505637744,270.662849336,143.094050187,369.422801754,2.39684016139,143.094050187,91.986820049,60.926625233,199.283781844,412.696069443,652.023987024,152.550681264,211.548239154,2.66864521795,49.8407197079,781.166816537,13.6964736281
