Year,FPCA # of papers,FPCA Topic 0,FPCA Topic 1,FPCA Topic 2,FPCA Topic 3,FPCA Topic 4,FPCA Topic 5,FPCA Topic 6,FPCA Topic 7,FPCA Topic 8,FPCA Topic 9,FPCA Topic 10,FPCA Topic 11,FPCA Topic 12,FPCA Topic 13,FPCA Topic 14,FPCA Topic 15,FPCA Topic 16,FPCA Topic 17,FPCA Topic 18,FPCA Topic 19,FPCA Topic 20,FPCA Topic 21,FPCA Topic 22,FPCA Topic 23,FPCA Topic 24,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFP Topic 10,ICFP Topic 11,ICFP Topic 12,ICFP Topic 13,ICFP Topic 14,ICFP Topic 15,ICFP Topic 16,ICFP Topic 17,ICFP Topic 18,ICFP Topic 19,ICFP Topic 20,ICFP Topic 21,ICFP Topic 22,ICFP Topic 23,ICFP Topic 24,ICFPEE # of papers,ICFPEE Topic 0,ICFPEE Topic 1,ICFPEE Topic 2,ICFPEE Topic 3,ICFPEE Topic 4,ICFPEE Topic 5,ICFPEE Topic 6,ICFPEE Topic 7,ICFPEE Topic 8,ICFPEE Topic 9,ICFPEE Topic 10,ICFPEE Topic 11,ICFPEE Topic 12,ICFPEE Topic 13,ICFPEE Topic 14,ICFPEE Topic 15,ICFPEE Topic 16,ICFPEE Topic 17,ICFPEE Topic 18,ICFPEE Topic 19,ICFPEE Topic 20,ICFPEE Topic 21,ICFPEE Topic 22,ICFPEE Topic 23,ICFPEE Topic 24,LFP # of papers,LFP Topic 0,LFP Topic 1,LFP Topic 2,LFP Topic 3,LFP Topic 4,LFP Topic 5,LFP Topic 6,LFP Topic 7,LFP Topic 8,LFP Topic 9,LFP Topic 10,LFP Topic 11,LFP Topic 12,LFP Topic 13,LFP Topic 14,LFP Topic 15,LFP Topic 16,LFP Topic 17,LFP Topic 18,LFP Topic 19,LFP Topic 20,LFP Topic 21,LFP Topic 22,LFP Topic 23,LFP Topic 24,OOPSLA # of papers,OOPSLA Topic 0,OOPSLA Topic 1,OOPSLA Topic 2,OOPSLA Topic 3,OOPSLA Topic 4,OOPSLA Topic 5,OOPSLA Topic 6,OOPSLA Topic 7,OOPSLA Topic 8,OOPSLA Topic 9,OOPSLA Topic 10,OOPSLA Topic 11,OOPSLA Topic 12,OOPSLA Topic 13,OOPSLA Topic 14,OOPSLA Topic 15,OOPSLA Topic 16,OOPSLA Topic 17,OOPSLA Topic 18,OOPSLA Topic 19,OOPSLA Topic 20,OOPSLA Topic 21,OOPSLA Topic 22,OOPSLA Topic 23,OOPSLA Topic 24,OOPSLA98ADDEND # of papers,OOPSLA98ADDEND Topic 0,OOPSLA98ADDEND Topic 1,OOPSLA98ADDEND Topic 2,OOPSLA98ADDEND Topic 3,OOPSLA98ADDEND Topic 4,OOPSLA98ADDEND Topic 5,OOPSLA98ADDEND Topic 6,OOPSLA98ADDEND Topic 7,OOPSLA98ADDEND Topic 8,OOPSLA98ADDEND Topic 9,OOPSLA98ADDEND Topic 10,OOPSLA98ADDEND Topic 11,OOPSLA98ADDEND Topic 12,OOPSLA98ADDEND Topic 13,OOPSLA98ADDEND Topic 14,OOPSLA98ADDEND Topic 15,OOPSLA98ADDEND Topic 16,OOPSLA98ADDEND Topic 17,OOPSLA98ADDEND Topic 18,OOPSLA98ADDEND Topic 19,OOPSLA98ADDEND Topic 20,OOPSLA98ADDEND Topic 21,OOPSLA98ADDEND Topic 22,OOPSLA98ADDEND Topic 23,OOPSLA98ADDEND Topic 24,OOPSLACOMPANION # of papers,OOPSLACOMPANION Topic 0,OOPSLACOMPANION Topic 1,OOPSLACOMPANION Topic 2,OOPSLACOMPANION Topic 3,OOPSLACOMPANION Topic 4,OOPSLACOMPANION Topic 5,OOPSLACOMPANION Topic 6,OOPSLACOMPANION Topic 7,OOPSLACOMPANION Topic 8,OOPSLACOMPANION Topic 9,OOPSLACOMPANION Topic 10,OOPSLACOMPANION Topic 11,OOPSLACOMPANION Topic 12,OOPSLACOMPANION Topic 13,OOPSLACOMPANION Topic 14,OOPSLACOMPANION Topic 15,OOPSLACOMPANION Topic 16,OOPSLACOMPANION Topic 17,OOPSLACOMPANION Topic 18,OOPSLACOMPANION Topic 19,OOPSLACOMPANION Topic 20,OOPSLACOMPANION Topic 21,OOPSLACOMPANION Topic 22,OOPSLACOMPANION Topic 23,OOPSLACOMPANION Topic 24,OOPSLAECOOP # of papers,OOPSLAECOOP Topic 0,OOPSLAECOOP Topic 1,OOPSLAECOOP Topic 2,OOPSLAECOOP Topic 3,OOPSLAECOOP Topic 4,OOPSLAECOOP Topic 5,OOPSLAECOOP Topic 6,OOPSLAECOOP Topic 7,OOPSLAECOOP Topic 8,OOPSLAECOOP Topic 9,OOPSLAECOOP Topic 10,OOPSLAECOOP Topic 11,OOPSLAECOOP Topic 12,OOPSLAECOOP Topic 13,OOPSLAECOOP Topic 14,OOPSLAECOOP Topic 15,OOPSLAECOOP Topic 16,OOPSLAECOOP Topic 17,OOPSLAECOOP Topic 18,OOPSLAECOOP Topic 19,OOPSLAECOOP Topic 20,OOPSLAECOOP Topic 21,OOPSLAECOOP Topic 22,OOPSLAECOOP Topic 23,OOPSLAECOOP Topic 24,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,PLDI Topic 10,PLDI Topic 11,PLDI Topic 12,PLDI Topic 13,PLDI Topic 14,PLDI Topic 15,PLDI Topic 16,PLDI Topic 17,PLDI Topic 18,PLDI Topic 19,PLDI Topic 20,PLDI Topic 21,PLDI Topic 22,PLDI Topic 23,PLDI Topic 24,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9,POPL Topic 10,POPL Topic 11,POPL Topic 12,POPL Topic 13,POPL Topic 14,POPL Topic 15,POPL Topic 16,POPL Topic 17,POPL Topic 18,POPL Topic 19,POPL Topic 20,POPL Topic 21,POPL Topic 22,POPL Topic 23,POPL Topic 24
2003,0,,,,,,,,,,,,,,,,,,,,,,,,,,27,983.044504908,234.436305153,52.7731753851,47.4122314619,1.68833718036,117.318269172,1.68833718036,1.68833718036,138.173116826,1.68833718036,1.68833718036,1.68833718036,1.68833718036,1.68833718036,64.8613331523,1.68833718036,206.059699294,260.763674409,18.7844988367,1498.01031112,222.400569046,57.5120185204,0.0358407915,1.68833718036,556.64932213,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,101,1.22324051569,816.298889362,54.4625387994,17.4160272551,2.09547238763,18.8053194608,2.09547238763,2.09547238763,11.8546504305,2.09547238763,2.09547238763,2.09547238763,2.09547238763,2.09547238763,19.9673164662,2.09547238763,301.055779939,20.7893996829,32.7584566573,9.94649086287,2.6336874964,49.2109945472,0.520619394293,2.09547238763,14.3840236546,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,28,32.3168048748,82.3374714468,351.361606688,0.0358407915,0.230428519454,943.886588482,0.230428519454,0.230428519454,224.411238904,0.230428519454,0.230428519454,0.230428519454,0.230428519454,0.230428519454,1912.77649403,0.230428519454,109.327435526,324.547386483,345.817481788,390.98236434,157.791767626,401.378595666,5.82798278834,0.230428519454,13.1855323054,25,754.175466727,10.4973274266,121.767934533,149.905579808,5.06696070436,162.475187537,5.06696070436,5.06696070436,531.988817744,5.06696070436,5.06696070436,5.06696070436,5.06696070436,5.06696070436,61.8571156443,5.06696070436,148.168190786,198.580564759,511.869239205,952.3498616,338.90544634,153.755149164,0.0358407915,5.06696070436,179.894690678
1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,42,228.199181423,77.6918624975,34.8485761107,771.092125664,8.26981905982,12.0907094573,8.26981905982,8.26981905982,171.843322611,8.26981905982,8.26981905982,8.26981905982,8.26981905982,8.26981905982,61.3112634768,8.26981905982,87.2296999984,5.57567461014,151.961463581,299.410148144,11.6481816885,96.9720759704,2.38562492105,8.26981905982,567.271252368,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.0358407915,33.2633051193,113.462308994,353.248716353,2.55465734988,81.184623576,2.55465734988,2.55465734988,1110.62132389,2.55465734988,2.55465734988,2.55465734988,2.55465734988,2.55465734988,952.466033519,2.55465734988,172.649672027,20.0800065547,92.171770736,71.1623551492,7.22424855936,1010.78320622,0.0358407915,2.55465734988,183.08922626,37,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915
1986,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,32,181.481224184,69.8415778498,48.4462356766,904.529495554,13.5519116863,7.25607795803,13.5519116863,13.5519116863,151.061782705,13.5519116863,13.5519116863,13.5519116863,13.5519116863,13.5519116863,42.3551810329,13.5519116863,46.8926601942,1.72627937755,157.694164747,58.5288503965,54.4907034678,1033.04883313,0.0358407915,13.5519116863,499.737995862,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915
1987,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,44,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915
1984,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,37,20.3781535352,79.6860801487,41.1199668051,790.368017361,3.78939656706,4.98926895777,3.78939656706,3.78939656706,112.096941057,3.78939656706,3.78939656706,3.78939656706,3.78939656706,3.78939656706,29.4903702974,3.78939656706,66.2237675334,1.86452178026,230.115179664,92.4547050289,22.9674419077,1058.73735576,0.930175112989,3.78939656706,364.715244301,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,32,251.537053263,110.602724041,20.2676915933,1166.18118382,10.0405153405,21.6606506476,10.0405153405,10.0405153405,343.180558187,10.0405153405,10.0405153405,10.0405153405,10.0405153405,10.0405153405,27.989497376,10.0405153405,263.941347482,40.0897517581,34.6527713513,71.8280281911,46.3331889376,397.107521611,0.0358407915,10.0405153405,137.86430733
1985,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915,0.0358407915
1982,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,29,104.883508867,84.8748162199,24.8905029849,786.280162062,6.32772280908,4.36000619662,6.32772280908,6.32772280908,58.7531647998,6.32772280908,6.32772280908,6.32772280908,6.32772280908,6.32772280908,12.0527235915,6.32772280908,56.5649933307,5.67453797503,180.438191332,35.3098215224,1.84334776276,917.645453627,0.0358407915,6.32772280908,199.184134426,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,38,25.3758511727,93.7879897353,121.110262999,871.246372564,10.0558999415,64.899531703,10.0558999415,10.0558999415,339.567977561,10.0558999415,10.0558999415,10.0558999415,10.0558999415,10.0558999415,6.05259590731,10.0558999415,243.121279537,86.8360996004,5.36331394503,57.8440925941,64.5386321037,284.712199727,0.175797114495,10.0558999415,40.4418662148
1983,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,28,180.014197576,116.585385419,19.1145991935,702.422485678,4.69615741479,86.6418986852,4.69615741479,4.69615741479,552.594514816,4.69615741479,4.69615741479,4.69615741479,4.69615741479,4.69615741479,21.8022050151,4.69615741479,426.264548301,83.2640066132,6.59575362287,90.224016834,5.14120411062,138.779991554,0.0358407915,4.69615741479,72.0609402867
1980,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,31,6.00621802055,222.944899627,33.5861920047,539.902104733,8.98004387625,0.0358407915,8.98004387625,8.98004387625,26.5851819665,8.98004387625,8.98004387625,8.98004387625,8.98004387625,8.98004387625,0.704192430874,8.98004387625,155.081037506,1.7247327066,74.7235689225,34.8837136313,3.4119709105,1242.55344109,0.0358407915,8.98004387625,213.755355573,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,25,103.960787307,99.0855687278,7.7348441798,1142.07255841,1.84825249436,71.7967774574,1.84825249436,1.84825249436,388.622369457,1.84825249436,1.84825249436,1.84825249436,1.84825249436,1.84825249436,0.0358407915,1.84825249436,174.600033776,65.1606992893,11.6861116019,115.761098922,150.474130487,102.343845334,0.0358407915,1.84825249436,81.3629883149
1981,26,33.638178882,68.5876089428,19.3755639132,918.240948083,19.2885024457,1.78561496637,19.2885024457,19.2885024457,167.981816056,19.2885024457,19.2885024457,19.2885024457,19.2885024457,19.2885024457,81.1511046069,19.2885024457,134.127575045,0.0358407915,11.0318615718,39.8082207277,10.4919234074,160.074444256,0.0358407915,19.2885024457,195.259837905,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,24,10.3596763743,111.596223969,27.918618233,885.08294212,1.00029356501,68.1370084846,1.00029356501,1.00029356501,616.122779426,1.00029356501,1.00029356501,1.00029356501,1.00029356501,1.00029356501,150.430513589,1.00029356501,130.635696862,67.9926929345,57.0931820873,44.0422511258,103.135505513,222.934945305,0.0358407915,1.00029356501,57.7085406554
