Year,FPCA # of papers,FPCA Topic 0,FPCA Topic 1,FPCA Topic 2,FPCA Topic 3,FPCA Topic 4,FPCA Topic 5,FPCA Topic 6,FPCA Topic 7,FPCA Topic 8,FPCA Topic 9,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFPEE # of papers,ICFPEE Topic 0,ICFPEE Topic 1,ICFPEE Topic 2,ICFPEE Topic 3,ICFPEE Topic 4,ICFPEE Topic 5,ICFPEE Topic 6,ICFPEE Topic 7,ICFPEE Topic 8,ICFPEE Topic 9,LFP # of papers,LFP Topic 0,LFP Topic 1,LFP Topic 2,LFP Topic 3,LFP Topic 4,LFP Topic 5,LFP Topic 6,LFP Topic 7,LFP Topic 8,LFP Topic 9,OOPSLA # of papers,OOPSLA Topic 0,OOPSLA Topic 1,OOPSLA Topic 2,OOPSLA Topic 3,OOPSLA Topic 4,OOPSLA Topic 5,OOPSLA Topic 6,OOPSLA Topic 7,OOPSLA Topic 8,OOPSLA Topic 9,OOPSLA98ADDEND # of papers,OOPSLA98ADDEND Topic 0,OOPSLA98ADDEND Topic 1,OOPSLA98ADDEND Topic 2,OOPSLA98ADDEND Topic 3,OOPSLA98ADDEND Topic 4,OOPSLA98ADDEND Topic 5,OOPSLA98ADDEND Topic 6,OOPSLA98ADDEND Topic 7,OOPSLA98ADDEND Topic 8,OOPSLA98ADDEND Topic 9,OOPSLACOMPANION # of papers,OOPSLACOMPANION Topic 0,OOPSLACOMPANION Topic 1,OOPSLACOMPANION Topic 2,OOPSLACOMPANION Topic 3,OOPSLACOMPANION Topic 4,OOPSLACOMPANION Topic 5,OOPSLACOMPANION Topic 6,OOPSLACOMPANION Topic 7,OOPSLACOMPANION Topic 8,OOPSLACOMPANION Topic 9,OOPSLAECOOP # of papers,OOPSLAECOOP Topic 0,OOPSLAECOOP Topic 1,OOPSLAECOOP Topic 2,OOPSLAECOOP Topic 3,OOPSLAECOOP Topic 4,OOPSLAECOOP Topic 5,OOPSLAECOOP Topic 6,OOPSLAECOOP Topic 7,OOPSLAECOOP Topic 8,OOPSLAECOOP Topic 9,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
2003,0,,,,,,,,,,,27,50.6987230836,50.6987230836,444.153576984,97.6661077138,835.435651711,50.6987230836,196.271990102,50.6987230836,2648.06551514,50.6987230836,0,,,,,,,,,,,0,,,,,,,,,,,101,197.860616075,197.860616075,146.646878811,110.206099849,16.0047597286,197.860616075,18.6730690796,197.860616075,111.416485612,197.860616075,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,28,10.1400447211,10.1400447211,1631.01942693,1792.68387631,256.994391837,10.1400447211,988.217386137,10.1400447211,578.641787173,10.1400447211,25,9.3213259847,9.3213259847,300.862194941,714.317070828,684.318058258,9.3213259847,775.488000514,9.3213259847,1805.27228038,9.3213259847
1997,0,,,,,,,,,,,42,55.645646939,55.645646939,364.86582999,51.5559742582,429.678410564,55.645646939,603.022834095,55.645646939,934.846284575,55.645646939,0,,,,,,,,,,,0,,,,,,,,,,,32,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,31,12.604337235,12.604337235,1923.0809128,246.934328428,182.183297701,12.604337235,1578.56642244,12.604337235,233.206619562,12.604337235,37,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
1986,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,32,91.2047421583,91.2047421583,1146.98691508,56.0482655891,744.574932937,91.2047421583,607.596994903,91.2047421583,381.383415541,91.2047421583,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,30,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
1987,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,44,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,29,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
1984,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,37,103.92824897,103.92824897,1175.77548375,46.2061527308,556.622816108,103.92824897,331.885299208,103.92824897,323.868373328,103.92824897,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,32,92.6566300078,92.6566300078,409.962149499,19.9558232808,1116.657884,92.6566300078,725.106918831,92.6566300078,298.67955919,92.6566300078
1985,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,30,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
1982,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,29,72.3956947895,72.3956947895,1117.17823208,66.54482066,594.175580919,72.3956947895,220.329845792,72.3956947895,175.82969524,72.3956947895,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,38,56.2394069147,56.2394069147,485.49936558,118.890648603,787.539321398,56.2394069147,508.695251587,56.2394069147,223.779455207,56.2394069147
1983,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,28,63.8077591255,63.8077591255,133.19563524,31.2838175835,752.674984369,63.8077591255,762.652585915,63.8077591255,549.625558966,63.8077591255
1980,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,31,131.881695817,131.881695817,1296.33396197,25.9270973125,273.334332134,131.881695817,140.877666451,131.881695817,249.821407563,131.881695817,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,25,60.7448256401,60.7448256401,151.66554479,5.25970086512,1115.81062392,60.7448256401,584.034882126,60.7448256401,372.689354942,60.7448256401
1981,26,83.2481088298,83.2481088298,145.880073107,9.55200768607,509.280033685,83.2481088298,690.56540504,83.2481088298,262.961555791,83.2481088298,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,24,39.1939324269,39.1939324269,342.431047359,22.3956242677,705.330566227,39.1939324269,1124.70602294,39.1939324269,172.364645246,39.1939324269
