Year,Conference,Title,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
2001,"POPL","Programming language methods in computer security - John C. Mitchell",0.0483335599,0.0483335598,536.0654792757,0.0483335598,0.0483335599,0.0483335599,145.5393653917,0.0483335598,317.1527985683,58.4356909986
2001,"POPL","Extensionality and intensionality of the ambient logics - Davide Sangiorgi",141.9620748219,0.0483335596,313.5390607077,0.0483335596,0.0483335597,0.0483335598,1364.5422613516,0.0483335596,0.0483335597,856.1499373542
2001,"POPL","Mobile values, new names, and secure communication - Mart&#237;n Abadi C&#233;dric Fournet",256.9925492418,0.0483335597,977.3666431796,0.0483335597,0.0483335599,0.0483335599,3286.1415553737,0.0483335597,105.2226702653,64.5182497342
2001,"POPL","Nomadic pict - Asis Unyapoth Peter Sewell",0.0483335599,0.0483335597,2966.4966207973,0.0483335597,0.0483335599,0.0483335599,1460.6000463174,0.0483335597,0.0483335599,0.0483335599
2001,"POPL","A generic type system for the Pi-calculus - Atsushi Igarashi Naoki Kobayashi",0.0483335599,0.0483335596,1094.1693226494,0.0483335596,0.0483335598,0.0483335598,2898.0891690608,0.0483335596,0.0483335598,672.8865089649
2001,"POPL","Oracle-based checking of untrusted software - George C. Necula S. P. Rahul",0.0483335596,355.7150002256,0.0483335595,355.7150002256,0.0483335595,0.0483335595,0.0483335596,355.7150002256,0.0483335595,0.0483335595
2001,"POPL","Stratified operational semantics for safety and correctness of the region calculus - Cristiano Calcagno",0.0483335595,715.0483335590,0.0483335595,715.0483335590,0.0483335595,0.0483335594,0.0483335596,715.0483335590,0.0483335594,0.0483335595
2001,"POPL","Type-preserving garbage collectors - Daniel C. Wang Andrew W. Appel",8.8033239575,0.0483335597,0.0483335598,0.0483335597,3396.5746549350,0.0483335598,1665.7670217825,0.0483335597,0.0483335599,0.0483335599
2001,"POPL","A compiler technique for improving whole-program locality - Mahmut Taylan Kandemir",0.0483335598,0.0483335597,0.0483335598,0.0483335597,307.8464568496,5358.2502102655,0.0483335599,0.0483335597,0.0483335599,0.0483335599
2001,"POPL","Avoiding exponential explosion - Cormac Flanagan James B. Saxe",1966.0862768027,0.0483335597,0.0483335599,0.0483335597,6.6784331521,332.3477412545,0.0483335600,0.0483335597,727.4258158801,398.7034007050
2001,"POPL","What packets may come - Karthikeyan Bhargavan Satish Chandra Peter J. McCann Carl A. Gunter",365.5882362248,0.0483335597,4033.6532920309,0.0483335597,0.0483335599,0.0483335599,0.0483335598,0.0483335597,765.8880115802,620.0637943988
2001,"POPL","Computational flux - Robin Milner",0.0483335599,0.0483335598,112.6449199509,0.0483335598,0.0483335598,70.2301128226,403.0504695345,0.0483335598,0.0483335598,47.2678319266
2001,"POPL","BI as an assertion language for mutable data structures - Samin S. Ishtiaq Peter W. O'Hearn",3798.2213388319,0.0483335597,0.0483335599,0.0483335597,57.4778774711,0.0483335598,535.1732487086,0.0483335597,0.0483335599,301.3208692231
2001,"POPL","Secure safe ambients - Michele Bugliesi Giuseppe Castagna",0.0483335599,0.0483335597,544.2184211218,0.0483335597,0.0483335599,52.5828199007,2790.8164431085,0.0483335597,82.4070650598,347.2169186038
2001,"POPL","Modules, abstract types, and distributed versioning - Peter Sewell",0.0483335599,0.0483335597,425.4452712577,0.0483335597,0.0483335600,0.0483335598,3564.4831763953,0.0483335597,264.2165530218,0.0483335598
2001,"POPL","Typing a multi-language intermediate code - Andrew D. Gordon Don Syme",609.9047670383,0.0483335597,0.0483335598,0.0483335597,1566.3041934958,0.0483335598,3395.0363016615,0.0483335597,269.9480720391,0.0483335599
2001,"POPL","Type-indexed rows - Mark Shields Erik Meijer",0.0483335596,526.7150002256,0.0483335595,526.7150002256,0.0483335594,0.0483335595,0.0483335596,526.7150002256,0.0483335595,0.0483335595
2001,"POPL","Subtyping arithmetical types - Joseph (Yossi) Gil",0.0483335599,0.0483335597,0.0483335598,0.0483335597,0.0483335600,0.0483335599,1890.7534129206,0.0483335597,0.0483335599,3427.3432541942
