Year,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
1997,31,78.5845427331,23.6581794992,164.564811615,23.6581794992,1106.43018685,1542.20659249,169.953921996,23.6581794992,626.435331067,467.46244261,37,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593
1981,0,,,,,,,,,,,24,29.8172642434,25.5525753121,96.0051601011,25.5525753121,81.5836960666,493.437559841,46.5520556679,25.5525753121,259.851628991,1478.91157808
1986,0,,,,,,,,,,,30,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593
1987,0,,,,,,,,,,,29,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593
1984,0,,,,,,,,,,,32,25.1058455607,40.4265062224,350.020094033,40.4265062224,152.686528968,213.567525829,344.594827586,40.4265062224,177.44454223,1648.56570272
1985,0,,,,,,,,,,,30,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593
1982,0,,,,,,,,,,,38,9.1704794298,13.4203414158,398.531065787,13.4203414158,65.9408828744,118.558805818,91.1184363063,13.4203414158,269.886602021,1411.75288121
1983,0,,,,,,,,,,,28,39.0490403986,11.6316244229,252.365185143,11.6316244229,43.8842184092,438.830210249,366.72404397,11.6316244229,109.27050559,1263.07240142
1980,0,,,,,,,,,,,25,40.4992528744,11.9597716847,201.432005624,11.9597716847,46.4237431282,218.959181874,146.127167274,11.9597716847,84.0967994878,1759.38587028
2003,28,618.895765814,17.468507889,213.850531582,17.468507889,1920.40701425,1049.16737855,327.017217548,17.468507889,1114.65305358,1.47970774747,25,622.78277319,0.60620227032,112.324683438,0.60620227032,955.748437947,420.245162241,1874.02517871,0.60620227032,157.750067927,181.788425328
1988,33,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,28,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593
1989,31,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,30,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593
2014,0,,,,,,,,,,,55,2302.37217506,7.31875235355,503.165668022,7.31875235355,93.3484428258,135.252917354,1622.52976213,7.31875235355,837.713511754,285.03551048
2011,55,1239.83595776,14.9801775508,802.59443863,14.9801775508,744.336379165,617.437199002,279.144108637,14.9801775508,1680.89312178,131.428870694,52,2024.46042257,14.9879640031,832.008084154,14.9879640031,610.977473807,275.437685301,1131.86769094,14.9879640031,381.150296726,234.079328549
2010,42,708.370203478,11.7468348674,897.220440027,11.7468348674,1419.69249084,338.290507497,467.753953531,11.7468348674,1424.54454809,84.3944970527,41,2362.03020912,18.3469404391,661.021750889,18.3469404391,150.651440695,95.9750019031,1422.8054564,18.3469404391,542.655840851,253.497936371
2013,48,1346.08085925,21.8163704766,820.113774427,21.8163704766,652.91723281,589.502195192,367.296163471,21.8163704766,1444.10565498,106.476677365,48,2157.5132363,0.498034972798,803.53994638,0.498034972798,158.213879651,283.761514636,1328.94570234,0.498034972798,528.392495495,400.789122543
2012,48,791.838248594,28.8288315393,953.17109799,28.8288315393,812.011364755,757.2334899,215.707515477,28.8288315393,1797.38211608,32.6113415155,48,1925.07753112,19.8815353767,633.577303701,19.8815353767,220.286718562,103.262759114,1593.04769031,19.8815353767,893.242511653,128.115048332
2005,29,344.328967983,13.8806025884,499.160611713,13.8806025884,1081.19861071,997.939476229,405.484680033,13.8806025884,1806.35073268,10.5508622743,31,1840.89924402,7.29519439942,770.954782543,7.29519439942,349.024872695,132.76763591,1372.72647837,7.29519439942,389.708757861,202.483722932
1991,28,0.0483335598357,24.1588061684,212.254308459,24.1588061684,563.129837936,1681.63435017,432.340877495,24.1588061684,223.48567195,547.899251809,31,47.5864419846,16.4121429331,387.18767885,16.4121429331,25.8912827958,412.804114378,1011.96724536,16.4121429331,88.1963150202,1375.64608647
