Year,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFPEE # of papers,ICFPEE Topic 0,ICFPEE Topic 1,ICFPEE Topic 2,ICFPEE Topic 3,ICFPEE Topic 4,ICFPEE Topic 5,ICFPEE Topic 6,ICFPEE Topic 7,ICFPEE Topic 8,ICFPEE Topic 9,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
1976,0,,,,,,,,,,,0,,,,,,,,,,,20,145.651947675,20.0563981328,293.293183646,13.1104873715,170.794940794,43.7757029218,170.794940794,549.422472143,170.794940794,1132.74670259
1986,0,,,,,,,,,,,0,,,,,,,,,,,30,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862
1987,0,,,,,,,,,,,0,,,,,,,,,,,29,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862
1984,0,,,,,,,,,,,0,,,,,,,,,,,32,361.837084066,248.387244987,222.303343681,113.890129949,279.181634389,85.3670239689,279.181634389,726.553417617,279.181634389,437.489819427
1985,0,,,,,,,,,,,0,,,,,,,,,,,30,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862
1982,0,,,,,,,,,,,0,,,,,,,,,,,38,156.353779087,135.99018052,377.904596268,3.74647082107,213.518552202,101.2911653,213.518552202,718.502390518,213.518552202,270.984319848
1983,0,,,,,,,,,,,0,,,,,,,,,,,28,154.719398583,516.392736368,146.463823648,38.9635310385,130.48679441,62.8374302489,130.48679441,509.179625591,130.48679441,728.181931013
1980,0,,,,,,,,,,,0,,,,,,,,,,,25,46.858301999,190.64315016,66.7436077447,84.0149650189,203.716405754,91.0624461949,203.716405754,992.508981624,203.716405754,449.931046858
1981,0,,,,,,,,,,,0,,,,,,,,,,,24,100.743462528,68.2438182794,250.965411145,16.167138402,156.906763087,84.8594857823,156.906763087,698.235241725,156.906763087,872.990203073
1979,0,,,,,,,,,,,0,,,,,,,,,,,27,76.69647405,44.628645265,244.054607288,0.0591717081926,52.3222954699,38.6981009762,52.3222954699,1385.70927086,52.3222954699,1028.3711529
1988,0,,,,,,,,,,,0,,,,,,,,,,,28,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862
1989,0,,,,,,,,,,,0,,,,,,,,,,,30,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862
2014,0,,,,,,,,,,,0,,,,,,,,,,,55,309.280814861,250.564389788,722.111791922,1161.25419528,10.2919671834,1026.67328558,10.2919671834,1227.80349392,10.2919671834,1072.91875305
2011,40,724.527244148,379.858543419,499.942786944,1365.48083718,97.3911097879,1365.93106987,97.3911097879,352.864433404,97.3911097879,89.9634725385,0,,,,,,,,,,,52,367.360000904,266.996073916,1372.06162558,493.610927306,41.0929760078,745.074651285,41.0929760078,891.746862374,41.0929760078,1274.92418593
