Year,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
2003,25,878.258644898,28.2892219394,510.196673318,1342.76932155,28.2892219394,28.2892219394,28.2892219394,144.190011682,627.57781701,710.423992727
1997,37,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938
1986,30,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938
1987,29,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938
1984,32,287.00062024,311.891312513,2.11444454704,272.943838011,311.891312513,311.891312513,311.891312513,561.947471363,154.4999538,507.283020925
1985,30,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938
1982,38,414.600017838,157.522889175,6.44824489834,87.7404146515,157.522889175,157.522889175,157.522889175,590.567809546,3.79705621716,672.065091191
1983,28,519.551823467,140.69665964,31.6587544706,261.020358896,140.69665964,140.69665964,140.69665964,491.681472727,76.8609560205,604.620487653
1980,25,48.9811154185,202.551708499,3.7597719966,237.042098965,202.551708499,202.551708499,202.551708499,908.5634221,7.63095722688,516.709149235
1981,24,221.26303906,101.839907407,9.37948932027,56.4123591511,101.839907407,101.839907407,101.839907407,637.003578478,37.2475241187,1194.24106252
1988,28,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938
1989,30,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938
2014,55,444.867472923,24.1309041169,2303.26577527,1448.93139842,24.1309041169,24.1309041169,24.1309041169,420.61299922,1039.28013119,47.9828645382
2011,52,974.753670302,30.219022008,2212.06638913,795.410548073,30.219022008,30.219022008,30.219022008,373.273285172,803.706466235,254.948440457
2010,41,742.82637919,17.0035053496,2295.75154886,1531.31498593,17.0035053496,17.0035053496,17.0035053496,246.698339767,547.737293791,111.425901957
2013,48,666.111691602,8.0421393372,1970.28748135,1204.10029574,8.0421393372,8.0421393372,8.0421393372,366.062994808,1141.32831786,282.680676895
2012,48,769.933819288,15.6261995809,2012.18391661,1449.89533545,15.6261995809,15.6261995809,15.6261995809,177.182299921,970.554597375,114.089415304
2005,31,1140.99930661,27.4475769058,1850.08505179,1064.59947365,27.4475769058,27.4475769058,27.4475769058,155.473820666,666.856964182,92.7361663512
1991,31,214.950751986,210.040310866,26.1933917473,758.336953158,210.040310866,210.040310866,210.040310866,651.460532194,303.838721124,603.664013328
1990,31,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938
1993,43,255.659139589,98.3475436315,33.5803191149,855.753928884,98.3475436315,98.3475436315,98.3475436315,390.236753409,106.112832368,1081.72392198
1992,31,434.267754237,140.128490463,63.6725212007,1018.5740357,140.128490463,140.128490463,140.128490463,661.483935133,167.93521583,826.60979595
1995,35,369.463784747,173.642963939,85.1455889693,973.972735807,173.642963939,173.642963939,173.642963939,641.869532799,244.213562605,1135.90771683
1994,39,536.192644927,129.959081762,46.5773393923,1132.78235306,129.959081762,129.959081762,129.959081762,444.865653965,343.092878806,851.45692097
1979,27,202.624732426,67.3438445794,28.2834204599,33.2482407953,67.3438445794,67.3438445794,67.3438445794,1155.53323793,47.0039083917,1239.09702321
1978,27,170.889731997,189.557789707,138.833046136,141.302767437,189.557789707,189.557789707,189.557789707,1004.36755734,6.59278934235,908.060001566
1977,25,195.092623907,139.43147287,24.7352117123,17.0853069767,139.43147287,139.43147287,139.43147287,975.659542869,54.6359675631,1273.63880443
1976,20,224.099808022,86.2817952708,59.0444702709,40.4842470735,86.2817952708,86.2817952708,86.2817952708,421.885848343,4.27782397692,1615.50397017
1975,23,343.501204975,166.979002148,1.85689908374,42.9618862501,166.979002148,166.979002148,166.979002148,350.39708002,131.776019445,571.338163616
1996,34,345.769265123,161.273605701,189.469107028,1016.86531819,161.273605701,161.273605701,161.273605701,303.915488604,342.700885278,1257.02356779
