Year,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9
1988,33,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029
1989,31,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029,0.0426084029
2011,55,1794.13981167,566.291815224,129.798448724,585.607802388,1236.49646372,35.2787558546,190.888064557,35.2787558546,249.466895812,717.306542949
2010,42,934.965825671,1144.42914733,124.408625184,578.798972878,1122.9977097,1.29349273661,28.8210025379,1.29349273661,631.772940031,806.668684738
2013,48,1483.34925908,1108.05540089,146.119748502,343.231837341,1226.97549221,36.636263254,221.096719744,36.636263254,231.954154346,557.82927874
2012,48,1128.84374344,624.319974414,142.248596655,652.707074332,1502.81399956,21.2424288602,154.265121644,21.2424288602,308.620666543,890.080383054
1991,28,25.4148269709,500.060359992,1154.22174092,43.2915974952,50.5185657887,67.3522594843,782.494959934,67.3522594843,371.488129746,671.017098497
1990,29,0.0426084029,0.0426084029,13.8000585681,0.0426084029,0.0426084029,0.0426084029,0.457572030776,0.0426084029,0.0426084029,0.0426084029
1993,29,50.5027382536,380.036438599,1252.77803325,191.386541296,10.4396898308,43.2279110605,476.904469377,43.2279110605,626.938210842,677.225519773
1992,30,48.6728661364,260.674592566,1541.89322321,57.0102803826,48.2344180596,7.97767560333,445.572565543,7.97767560333,389.153362449,610.692757806
1995,28,143.70752153,234.475357143,1353.80157901,300.405808645,34.3521114587,0.0426084029,823.358070908,0.0426084029,659.208344294,564.282074236
1994,30,175.680059769,337.142605896,1575.25713839,381.15538488,47.6201750379,0.0426084029,742.62736204,0.0426084029,532.977511205,289.847296675
1997,31,360.011437247,338.549344809,1199.68022698,306.328677574,29.969772736,13.1567134056,846.640957086,13.1567134056,621.598874368,497.46239867
1996,28,119.888577705,411.182398543,1345.22521762,202.282380674,117.400872018,36.0962660962,364.301060505,36.0962660962,879.744409884,671.137206314
1999,26,2.6573334895,127.087712978,35.4802380849,9.68770038272,13.7551141083,0.908878021562,23.8850209095,0.908878021562,34.7887895951,11.920264592
1998,31,91.8215662975,376.972133966,1393.0140808,194.121712661,116.357388097,0.0426084029,686.693490808,0.0426084029,906.594551076,566.701427384
2002,28,825.009068711,887.982577726,312.848069077,494.667489899,499.685351802,0.0426084029,470.552528728,0.0426084029,869.400554505,556.588083916
2003,28,905.954965235,744.358451232,397.688343366,1230.50717984,543.670758817,5.17514130675,521.216546216,5.17514130675,463.790513156,480.281900701
2000,30,185.770281293,206.256700167,291.918327013,41.6108626127,65.9439118147,435.32884983,205.540881329,435.32884983,477.186575485,3.97417798691
2001,30,509.289070658,660.997826759,607.574801571,128.422888482,153.268674812,27.2455327533,729.540708514,27.2455327533,1580.64196574,136.299081984
2006,36,548.056045423,504.963519315,166.461420581,302.567037138,752.158710772,197.948840634,290.853912768,197.948840634,606.350227151,458.92308517
2007,45,1500.57274446,428.735917116,25.8306219012,620.588236856,1348.74487936,0.0426084029,322.953717102,0.0426084029,645.719786649,463.70607489
2004,26,1403.30931789,356.666099372,121.61794872,726.48538846,469.386747224,61.1085331024,770.545416936,61.1085331024,225.535941109,822.316004267
2005,29,718.0611747,1057.64813002,20.2023489987,645.80627989,684.034275584,1.81191336971,401.080990763,1.81191336971,772.082711565,884.058759561
2008,34,1200.02732556,499.447522295,90.2584384395,241.398235903,1827.76376156,66.3297475323,381.021741397,66.3297475323,697.067298341,362.429324296
2009,41,1586.47463298,755.783663724,196.789619266,314.010825949,1230.52026592,27.0799831102,181.001824402,27.0799831102,987.629641438,332.519058758
