Year,POPL # of papers,POPL Topic 0,POPL Topic 1
2003,25,3481.81896491,844.669556962
1997,37,0.244260938,0.244260938
1986,30,0.244260938,0.244260938
1987,29,0.244260938,0.244260938
1984,32,1210.46521019,1822.80456169
1985,30,0.244260938,0.244260938
1982,38,758.648594587,1646.57676939
1983,28,1081.0938294,1467.00183534
1980,25,931.481093456,1601.32742842
1981,24,779.126201887,1783.69565332
1988,28,0.244260938,0.244260938
1989,30,0.244260938,0.244260938
2014,55,5583.79446135,217.584969617
2011,52,4918.83366101,616.116399324
2010,41,5041.55660131,502.127042522
2013,48,5275.08857903,387.566609516
2012,48,5402.68557791,153.5737773
2005,31,4849.3762232,231.080040614
1991,31,2306.98014569,1091.54063425
1990,31,0.244260938,0.244260938
1993,43,2017.63094653,1098.74129628
1992,31,2220.62769141,1512.34470143
1995,35,2632.58675807,1512.47319237
1994,39,2551.25683757,1323.46245353
1979,27,885.816260767,2089.2648537
1978,27,884.852490272,2243.33973531
1977,25,646.654719668,2451.83380221
1976,20,496.926159718,2213.41236216
1975,23,551.226161288,1558.43627363
1996,34,2683.09643706,1417.6567907
1973,22,301.476083465,2002.19425659
2002,30,2557.54455615,515.410632398
1999,25,3307.38479436,1097.74372752
2000,31,0.244260938,0.244260938
2001,26,2555.55229255,812.897767786
2006,36,4854.65557458,507.999613965
2007,39,3887.22452237,318.648614886
2004,29,4496.01951818,441.124176109
1998,32,0.244260938,0.244260938
2008,38,4578.45653014,352.005675943
2009,39,4896.49399638,417.302217806
